__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782915828.900317,0.000000000,0.335193116,1.118051822,0.892746738,0.263117420,0.243871879,42850.164495988,3.783148594,6509.000000000,302.500000000,5631.455412475,380.000000000,1071254.112399707,0.000000000,6458.000000000,299.000000000,0.273689552,1.537958400,281.573520167,0.021586381
1782915828.910339,0.000000000,0.335237202,1.118079837,0.892723048,0.263197142,0.243725581,42449.468522123,3.782817522,6501.000000000,304.500000000,5631.661415585,380.000000000,1061236.713053068,0.000000000,6460.000000000,306.000000000,0.274001105,1.538054274,278.797562623,0.031087929
1782915828.920316,0.000000000,0.335272496,1.118102245,0.892705274,0.263239477,0.243646790,42434.944298212,3.782639071,6501.000000000,304.500000000,5631.958862613,380.000000000,1060873.607455310,0.000000000,6422.000000000,279.000000000,0.274168892,1.538126187,278.625216604,0.016818019
1782915828.930511,0.000000000,0.335306154,1.118123596,0.892687498,0.263294484,0.243545492,42817.761298219,3.782409496,6509.000000000,304.500000000,5632.119009713,380.000000000,1070444.032455481,0.000000000,6570.000000000,373.000000000,0.274384602,1.538198085,281.038940669,0.021158793
1782915828.940298,0.000000000,0.335388742,1.118175919,0.892645997,0.263391084,0.243365393,42807.710064429,3.782000913,6509.000000000,304.500000000,5632.324852699,380.000000000,1070192.751610729,0.000000000,6587.000000000,275.000000000,0.274768098,1.538365872,280.795523933,0.039182968
1782915828.950278,0.000000000,0.335436849,1.118206351,0.892622272,0.263439020,0.243275340,42911.920616931,3.781796414,6511.500000000,306.000000000,5632.690685716,380.000000000,1072798.015423265,0.000000000,6591.000000000,330.000000000,0.274959846,1.538461746,281.390147582,0.019213770
1782915828.960551,0.000000000,0.335432787,1.118203783,0.892622272,0.263470710,0.243219044,42780.917712453,3.781668507,6509.000000000,306.000000000,5632.873543323,380.000000000,1069522.942811321,0.000000000,6477.000000000,314.000000000,0.275079711,1.538461746,280.475680452,0.011667440
1782915828.970256,0.000000000,0.335475200,1.118230588,0.892598539,0.263562966,0.243050181,42775.337103963,3.781284524,6509.000000000,306.000000000,5632.987830697,380.000000000,1069383.427599064,0.000000000,6418.000000000,336.000000000,0.275439246,1.538557620,280.272847113,0.037045226
1782915828.980496,0.000000000,0.335497623,1.118244748,0.892586670,0.263599567,0.242982656,42758.602547855,3.781130845,6509.000000000,306.500000000,5633.330543947,380.000000000,1068965.063696377,0.000000000,6441.000000000,332.000000000,0.275583012,1.538605557,280.096746190,0.014039908
1782915828.990373,0.000000000,0.335572995,1.118292295,0.892551048,0.263646067,0.242892592,42361.275910289,3.780925754,6501.000000000,306.500000000,5633.467545155,380.000000000,1059031.897757220,0.000000000,6448.000000000,364.000000000,0.275774761,1.538749368,277.406188043,0.019413199
1782915829.000326,0.000000000,0.335607421,1.118313984,0.892533233,0.263694631,0.242802525,41912.888656140,3.780720525,6492.000000000,307.000000000,5633.650235878,380.000000000,1047822.216403495,0.000000000,6453.000000000,322.000000000,0.275966509,1.538821266,274.383006259,0.019265319
1782915829.010370,0.000000000,0.335641850,1.118335658,0.892515409,0.263743182,0.242712456,41903.969855864,3.780515156,6492.000000000,307.000000000,5633.832887333,380.000000000,1047599.246396588,0.000000000,6509.000000000,346.000000000,0.276158257,1.538893179,274.237753424,0.019091988
1782915829.020440,0.000000000,0.335653048,1.118342703,0.892509469,0.263761482,0.242678662,41846.223357844,3.780438067,6491.000000000,310.500000000,5634.015499521,380.000000000,1046155.583946100,0.000000000,6383.000000000,348.000000000,0.276230200,1.538917140,273.827288073,0.007144210
