__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt,tilt1
1782647754.104337,,,,6099.000000000,272.000000000,0.000000000,,,
1782647754.104362,1.298634648,0.349244297,0.000000000,,,,74.406347327,20.010241113,20.010241113
1782647754.114572,,,,6086.000000000,309.000000000,0.000000000,,,
1782647754.114636,1.298946261,0.349388093,0.000000000,,,,74.424201456,20.018480036,20.018480036
1782647754.124468,,,,6055.000000000,276.000000000,0.000000000,,,
1782647754.124509,1.299353719,0.349507958,0.000000000,,,,74.447547063,20.025347797,20.025347797
1782647754.134363,,,,5964.000000000,303.000000000,0.000000000,,,
1782647754.134385,1.299689174,0.349699706,0.000000000,,,,74.466767231,20.036334166,20.036334166
1782647754.144505,,,,6075.000000000,286.000000000,0.000000000,,,
1782647754.144537,1.300192595,0.349843502,0.000000000,,,,74.495611144,20.044573088,20.044573088
1782647754.154514,,,,6155.000000000,287.000000000,0.000000000,,,
1782647754.154557,1.300480127,0.349939376,0.000000000,,,,74.512085575,20.050066272,20.050066272
1782647754.164513,,,,6269.000000000,338.000000000,0.000000000,,,
1782647754.164548,1.300815701,0.350083202,0.000000000,,,,74.531312573,20.058306903,20.058306903
1782647754.174368,,,,6191.000000000,330.000000000,0.000000000,,,
1782647754.174391,1.301367044,0.350250959,0.000000000,,,,74.562902225,20.067918694,20.067918694
1782647754.184390,,,,6063.000000000,266.000000000,0.000000000,,,
1782647754.184417,1.301678658,0.350490659,0.000000000,,,,74.580756354,20.081652509,20.081652509
1782647754.194381,,,,6054.000000000,315.000000000,0.000000000,,,
1782647754.194399,1.302014112,0.350610495,0.000000000,,,,74.599976523,20.088518562,20.088518562
1782647754.204196,,,,6073.000000000,307.000000000,0.000000000,,,
1782647754.204208,1.302565455,0.350730330,0.000000000,,,,74.631566175,20.095384616,20.095384616
1782647754.214483,,,,6109.000000000,326.000000000,0.000000000,,,
1782647754.214535,1.302877069,0.350898117,0.000000000,,,,74.649420304,20.104998115,20.104998115
1782647754.224413,,,,6219.000000000,274.000000000,0.000000000,,,
1782647754.224464,1.303164601,0.351041913,0.000000000,,,,74.665894734,20.113237038,20.113237038
1782647754.234248,,,,6133.000000000,272.000000000,0.000000000,,,
1782647754.234260,1.303644061,0.351305574,0.000000000,,,,74.693365778,20.128343722,20.128343722
1782647754.244398,,,,6020.000000000,326.000000000,0.000000000,,,
1782647754.244423,1.304027557,0.351473361,0.000000000,,,,74.715338516,20.137957221,20.137957221
1782647754.254211,,,,5899.000000000,297.000000000,0.000000000,,,
1782647754.254224,1.304363132,0.351617157,0.000000000,,,,74.734565514,20.146196144,20.146196144
1782647754.264234,,,,5906.000000000,259.000000000,0.000000000,,,
1782647754.264247,1.304746628,0.351689070,0.000000000,,,,74.756538251,20.150316459,20.150316459
1782647754.274295,,,,6024.000000000,285.000000000,0.000000000,,,
1782647754.274315,1.305106044,0.351856858,0.000000000,,,,74.777131289,20.159929958,20.159929958
1782647754.284397,,,,6036.000000000,227.000000000,0.000000000,,,
1782647754.284425,1.305441618,0.352024645,0.000000000,,,,74.796358288,20.169543457,20.169543457
1782647754.294285,,,,6128.000000000,280.000000000,0.000000000,,,
1782647754.294300,1.305801153,0.352240354,0.000000000,,,,74.816958156,20.181902695,20.181902695
1782647754.304257,,,,6024.000000000,255.000000000,0.000000000,,,
1782647754.304279,1.306184649,0.352384150,0.000000000,,,,74.838930893,20.190141618,20.190141618
1782647754.314382,,,,5903.000000000,244.000000000,0.000000000,,,
1782647754.314419,1.306688070,0.352527976,0.000000000,,,,74.867774806,20.198382248,20.198382248
1782647754.324329,,,,5942.000000000,225.000000000,0.000000000,,,
1782647754.324346,1.306999564,0.352623850,0.000000000,,,,74.885622106,20.203875432,20.203875432
1782647754.334373,,,,6107.000000000,299.000000000,0.000000000,,,
1782647754.334401,1.307359099,0.352767646,0.000000000,,,,74.906221974,20.212114355,20.212114355
1782647754.344332,,,,6216.000000000,315.000000000,0.000000000,,,
1782647754.344345,1.307886481,0.353031307,0.000000000,,,,74.936438756,20.227221039,20.227221039
1782647754.354465,,,,6238.000000000,348.000000000,0.000000000,,,
1782647754.354490,1.308221936,0.353175104,0.000000000,,,,74.955658925,20.235459961,20.235459961
1782647754.364306,,,,6180.000000000,395.000000000,0.000000000,,,
1782647754.364333,1.308845162,0.353294969,0.000000000,,,,74.991367184,20.242327722,20.242327722
1782647754.374295,,,,6091.000000000,328.000000000,0.000000000,,,
1782647754.374310,1.309180737,0.353462726,0.000000000,,,,75.010594182,20.251939514,20.251939514
1782647754.384349,,,,6093.000000000,311.000000000,0.000000000,,,
1782647754.384375,1.309492350,0.353606552,0.000000000,,,,75.028448312,20.260180144,20.260180144
1782647754.394338,,,,6168.000000000,338.000000000,0.000000000,,,
1782647754.394353,1.309947729,0.353726387,0.000000000,,,,75.054539657,20.267046198,20.267046198
1782647754.404415,,,,6261.000000000,290.000000000,0.000000000,,,
1782647754.404452,1.310331225,0.354014009,0.000000000,,,,75.076512394,20.283525751,20.283525751
1782647754.414346,,,,6280.000000000,305.000000000,0.000000000,,,
1782647754.414377,1.310666800,0.354181796,0.000000000,,,,75.095739393,20.293139250,20.293139250
1782647754.424378,,,,6071.000000000,275.000000000,0.000000000,,,
1782647754.424416,1.311122179,0.354325593,0.000000000,,,,75.121830737,20.301378173,20.301378173
1782647754.434273,,,,5980.000000000,276.000000000,0.000000000,,,
1782647754.434284,1.311505675,0.354445457,0.000000000,,,,75.143803474,20.308245934,20.308245934
1782647754.444437,,,,5946.000000000,290.000000000,0.000000000,,,
1782647754.444468,1.311865211,0.354589254,0.000000000,,,,75.164403342,20.316484856,20.316484856
1782647754.454369,,,,6035.000000000,267.000000000,0.000000000,,,
1782647754.454403,1.312248707,0.354804963,0.000000000,,,,75.186376079,20.328844094,20.328844094
1782647754.464347,,,,6118.000000000,325.000000000,0.000000000,,,
1782647754.464363,1.312632203,0.354972750,0.000000000,,,,75.208348816,20.338457593,20.338457593
1782647754.474341,,,,6112.000000000,283.000000000,0.000000000,,,
1782647754.474372,1.313135505,0.355140537,0.000000000,,,,75.237185900,20.348071093,20.348071093
1782647754.484383,,,,6023.000000000,279.000000000,0.000000000,,,
1782647754.484424,1.313495040,0.355308324,0.000000000,,,,75.257785767,20.357684592,20.357684592
1782647754.494463,,,,5917.000000000,294.000000000,0.000000000,,,
1782647754.494494,1.313854575,0.355452120,0.000000000,,,,75.278385635,20.365923515,20.365923515
1782647754.504236,,,,5845.000000000,244.000000000,0.000000000,,,
1782647754.504257,1.314381838,0.355595917,0.000000000,,,,75.308595588,20.374162437,20.374162437
1782647754.514468,,,,6114.000000000,348.000000000,0.000000000,,,
1782647754.514537,1.314741373,0.355835617,0.000000000,,,,75.329195456,20.387896252,20.387896252
1782647754.524448,,,,6129.000000000,307.000000000,0.000000000,,,
1782647754.524490,1.315100908,0.356003404,0.000000000,,,,75.349795323,20.397509751,20.397509751
1782647754.534357,,,,6212.000000000,338.000000000,0.000000000,,,
1782647754.534389,1.315724134,0.356171161,0.000000000,,,,75.385503583,20.407121543,20.407121543
1782647754.544390,,,,6160.000000000,360.000000000,0.000000000,,,
1782647754.544421,1.316059709,0.356314987,0.000000000,,,,75.404730581,20.415362173,20.415362173
1782647754.554323,,,,6090.000000000,282.000000000,0.000000000,,,
1782647754.554354,1.316563010,0.356458783,0.000000000,,,,75.433567664,20.423601096,20.423601096
1782647754.564371,,,,5981.000000000,237.000000000,0.000000000,,,
1782647754.564410,1.316922545,0.356698483,0.000000000,,,,75.454167532,20.437334910,20.437334910
1782647754.574337,,,,6125.000000000,263.000000000,0.000000000,,,
1782647754.574361,1.317306042,0.356842279,0.000000000,,,,75.476140269,20.445573833,20.445573833
1782647754.584476,,,,6226.000000000,232.000000000,0.000000000,,,
1782647754.584540,1.317785382,0.357034028,0.000000000,,,,75.503604483,20.456560202,20.456560202
1782647754.594338,,,,6273.000000000,280.000000000,0.000000000,,,
1782647754.594375,1.318192840,0.357249767,0.000000000,,,,75.526950090,20.468921147,20.468921147
1782647754.604172,,,,6120.000000000,354.000000000,0.000000000,,,
1782647754.604184,1.318600297,0.357369602,0.000000000,,,,75.550295696,20.475787200,20.475787200
1782647754.614398,,,,6075.000000000,313.000000000,0.000000000,,,
1782647754.614452,1.318959832,0.357513398,0.000000000,,,,75.570895564,20.484026123,20.484026123
1782647754.624281,,,,5970.000000000,299.000000000,0.000000000,,,
1782647754.624303,1.319367290,0.357729137,0.000000000,,,,75.594241170,20.496387068,20.496387068
1782647754.634423,,,,6079.000000000,305.000000000,0.000000000,,,
1782647754.634450,1.319774747,0.357848972,0.000000000,,,,75.617586776,20.503253122,20.503253122
1782647754.644258,,,,6082.000000000,290.000000000,0.000000000,,,
1782647754.644276,1.320230246,0.358064681,0.000000000,,,,75.643684951,20.515612360,20.515612360
1782647754.654222,,,,6247.000000000,344.000000000,0.000000000,,,
1782647754.654249,1.320637703,0.358232468,0.000000000,,,,75.667030558,20.525225859,20.525225859
1782647754.664499,,,,6046.000000000,336.000000000,0.000000000,,,
1782647754.664564,1.321164966,0.358376265,0.000000000,,,,75.697240510,20.533464782,20.533464782
1782647754.674227,,,,5926.000000000,266.000000000,0.000000000,,,
1782647754.674239,1.321500540,0.358544052,0.000000000,,,,75.716467509,20.543078281,20.543078281
1782647754.684412,,,,5879.000000000,309.000000000,0.000000000,,,
1782647754.684444,1.321860075,0.358711839,0.000000000,,,,75.737067377,20.552691780,20.552691780
1782647754.694370,,,,5986.000000000,291.000000000,0.000000000,,,
1782647754.694402,1.322507143,0.358879596,0.000000000,,,,75.774141675,20.562303572,20.562303572
1782647754.704246,,,,6067.000000000,306.000000000,0.000000000,,,
1782647754.704262,1.322842717,0.359071344,0.000000000,,,,75.793368673,20.573289941,20.573289941
1782647754.714268,,,,6058.000000000,216.000000000,0.000000000,,,
1782647754.714297,1.323178291,0.359215170,0.000000000,,,,75.812595672,20.581530571,20.581530571
1782647754.724276,,,,6078.000000000,310.000000000,0.000000000,,,
1782647754.724295,1.323753595,0.359358966,0.000000000,,,,75.845558193,20.589769494,20.589769494
1782647754.734293,,,,5973.000000000,276.000000000,0.000000000,,,
1782647754.734323,1.324161053,0.359574705,0.000000000,,,,75.868903799,20.602130439,20.602130439
1782647754.744159,,,,5938.000000000,290.000000000,0.000000000,,,
1782647754.744193,1.324161053,0.359718502,0.000000000,,,,75.868903799,20.610369361,20.610369361
1782647754.754239,,,,6095.000000000,274.000000000,0.000000000,,,
1782647754.754264,1.324592471,0.359982163,0.000000000,,,,75.893622275,20.625476045,20.625476045
1782647754.764264,,,,6195.000000000,328.000000000,0.000000000,,,
1782647754.764294,1.325023890,0.360125959,0.000000000,,,,75.918340750,20.633714968,20.633714968
1782647754.774228,,,,6261.000000000,345.000000000,0.000000000,,,
1782647754.774249,1.325431347,0.360245824,0.000000000,,,,75.941686357,20.640582729,20.640582729
1782647754.784237,,,,6116.000000000,293.000000000,0.000000000,,,
1782647754.784271,1.325814843,0.360437572,0.000000000,,,,75.963659094,20.651569097,20.651569097
1782647754.794211,,,,6074.000000000,310.000000000,0.000000000,,,
1782647754.794226,1.326222301,0.360605329,0.000000000,,,,75.987004700,20.661180889,20.661180889
1782647754.804145,,,,6039.000000000,321.000000000,0.000000000,,,
1782647754.804169,1.326653719,0.360749155,0.000000000,,,,76.011723175,20.669421519,20.669421519
1782647754.814198,,,,6091.000000000,263.000000000,0.000000000,,,
1782647754.814226,1.327085137,0.360964864,0.000000000,,,,76.036441651,20.681780757,20.681780757
1782647754.824111,,,,6181.000000000,368.000000000,0.000000000,,,
1782647754.824129,1.327468634,0.361132652,0.000000000,,,,76.058414388,20.691394256,20.691394256
1782647754.834118,,,,6246.000000000,332.000000000,0.000000000,,,
