__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt
1782643627.026623,0.110997893,0.330716670,0.000000000,,,,6.359716171,18.948685386
1782643627.036579,,,,2187.000000000,341.000000000,0.000000000,,
1782643627.036610,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.046766,,,,2295.000000000,457.000000000,0.000000000,,
1782643627.046808,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.056761,,,,2202.000000000,375.000000000,0.000000000,,
1782643627.056782,0.110949956,0.330740660,0.000000000,,,,6.356969579,18.950059962
1782643627.066613,,,,2274.000000000,430.000000000,0.000000000,,
1782643627.066644,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.076645,,,,2139.000000000,295.000000000,0.000000000,,
1782643627.076676,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.086592,,,,2132.000000000,297.000000000,0.000000000,,
1782643627.086606,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.096591,,,,2270.000000000,399.000000000,0.000000000,,
1782643627.096622,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.106755,,,,2249.000000000,403.000000000,0.000000000,,
1782643627.106789,0.110925987,0.330716670,0.000000000,,,,6.355596283,18.948685386
1782643627.116630,,,,2264.000000000,403.000000000,0.000000000,,
1782643627.116659,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.126693,,,,2264.000000000,408.000000000,0.000000000,,
1782643627.126724,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.136706,,,,2179.000000000,375.000000000,0.000000000,,
1782643627.136747,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.146803,,,,2307.000000000,439.000000000,0.000000000,,
1782643627.146843,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.156647,,,,2202.000000000,341.000000000,0.000000000,,
1782643627.156661,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.166692,,,,2219.000000000,333.000000000,0.000000000,,
1782643627.166759,0.110949956,0.330692708,0.000000000,,,,6.356969579,18.947312516
1782643627.176550,,,,2250.000000000,407.000000000,0.000000000,,
1782643627.176615,0.110973924,0.330692708,0.000000000,,,,6.358342875,18.947312516
1782643627.186682,,,,2151.000000000,289.000000000,0.000000000,,
1782643627.186771,0.110997893,0.330716670,0.000000000,,,,6.359716171,18.948685386
1782643627.196426,,,,2301.000000000,458.000000000,0.000000000,,
1782643627.196443,0.110997893,0.330716670,0.000000000,,,,6.359716171,18.948685386
1782643627.206548,,,,2241.000000000,360.000000000,0.000000000,,
1782643627.206572,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.216483,,,,2198.000000000,354.000000000,0.000000000,,
1782643627.216500,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.226579,,,,2242.000000000,406.000000000,0.000000000,,
1782643627.226605,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.236445,,,,2211.000000000,350.000000000,0.000000000,,
1782643627.236474,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.246569,,,,2227.000000000,384.000000000,0.000000000,,
1782643627.246632,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.256466,,,,2258.000000000,412.000000000,0.000000000,,
1782643627.256495,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.266483,,,,2202.000000000,364.000000000,0.000000000,,
1782643627.266506,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.276532,,,,2235.000000000,407.000000000,0.000000000,,
1782643627.276569,0.110949956,0.330764621,0.000000000,,,,6.356969579,18.951432832
1782643627.286530,,,,2128.000000000,280.000000000,0.000000000,,
1782643627.286567,0.110949956,0.330764621,0.000000000,,,,6.356969579,18.951432832
1782643627.296654,,,,2278.000000000,420.000000000,0.000000000,,
1782643627.296706,0.110973924,0.330764621,0.000000000,,,,6.358342875,18.951432832
1782643627.306474,,,,2151.000000000,310.000000000,0.000000000,,
1782643627.306505,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.316537,,,,2253.000000000,440.000000000,0.000000000,,
1782643627.316565,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.326524,,,,2247.000000000,430.000000000,0.000000000,,
1782643627.326560,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.336458,,,,2221.000000000,388.000000000,0.000000000,,
1782643627.336490,0.110949956,0.330692708,0.000000000,,,,6.356969579,18.947312516
1782643627.346388,,,,2261.000000000,420.000000000,0.000000000,,
1782643627.346401,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.356538,,,,2254.000000000,399.000000000,0.000000000,,
1782643627.356604,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.366446,,,,2178.000000000,350.000000000,0.000000000,,
1782643627.366483,0.110973924,0.330716670,0.000000000,,,,6.358342875,18.948685386
1782643627.376498,,,,2230.000000000,402.000000000,0.000000000,,
1782643627.376544,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.386319,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.386343,,,,2231.000000000,367.000000000,0.000000000,,
1782643627.396592,,,,2203.000000000,380.000000000,0.000000000,,
1782643627.396628,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.406444,,,,2231.000000000,377.000000000,0.000000000,,
1782643627.406469,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.416485,,,,2218.000000000,348.000000000,0.000000000,,
1782643627.416526,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.426550,,,,2274.000000000,416.000000000,0.000000000,,
1782643627.426596,0.110949956,0.330716670,0.000000000,,,,6.356969579,18.948685386
1782643627.436604,,,,2202.000000000,349.000000000,0.000000000,,
1782643627.436670,0.110949956,0.330692708,0.000000000,,,,6.356969579,18.947312516
1782643627.446463,,,,2221.000000000,367.000000000,0.000000000,,
1782643627.446498,0.110925987,0.330716670,0.000000000,,,,6.355596283,18.948685386
1782643627.456541,,,,2242.000000000,426.000000000,0.000000000,,
1782643627.456604,0.110925987,0.330716670,0.000000000,,,,6.355596283,18.948685386
1782643627.466496,,,,2207.000000000,354.000000000,0.000000000,,
