__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/median_pb,/debug_geometry/median_pr,/debug_geometry/offset_pb,/debug_geometry/offset_pr,/debug_geometry/pb,/debug_geometry/pr,/debug_geometry/raw_pb,/debug_geometry/raw_pr,/debug_geometry/theta_g,/debug_geometry/theta_t,/debug_geometry/w,omega_g
1782915482.064831,0.000000000,0.285233515,1.066279095,0.912064808,0.191970876,0.355530267,1522.391958786,3.927603263,5502.500000000,528.000000000,5367.722364179,380.000000000,164528.502238190,180669.576097903,5500.000000000,525.000000000,0.030242010,1.443522708,14.047739370,-0.014578599
1782915482.075011,0.000000000,0.285191604,1.066217109,0.912076437,0.191915916,0.355604942,1677.408867723,3.927623144,5505.500000000,528.000000000,5367.547714770,380.000000000,168403.924961618,180669.576097903,5520.000000000,527.000000000,0.030074222,1.443450810,15.481317027,-0.016482423
1782915482.085005,0.000000000,0.285151097,1.066157167,0.912088063,0.191844745,0.355700938,1540.874328343,3.927648540,5502.500000000,528.000000000,5367.343856802,380.000000000,164990.561477113,180669.576097903,5492.000000000,537.000000000,0.029858513,1.443378897,14.224945284,-0.021582777
1782915482.094891,0.000000000,0.285124802,1.066118239,0.912095810,0.191789182,0.355775604,1502.402772675,3.927668167,5502.500000000,529.500000000,5367.081730217,380.000000000,165310.549983393,182500.686666463,5486.000000000,556.000000000,0.029690726,1.443330960,13.872628131,-0.016972145
1782915482.104937,0.000000000,0.285069369,1.066036128,0.912111299,0.191710450,0.355882278,1607.578183976,3.927696019,5505.500000000,531.000000000,5366.877803529,380.000000000,169221.712663908,184331.797235023,5529.000000000,594.000000000,0.029450996,1.443235086,14.848124126,-0.023864338
1782915482.114729,0.000000000,0.285027436,1.065973975,0.912122909,0.191655473,0.355956908,1719.467214069,3.927715371,5507.500000000,531.000000000,5366.586386123,380.000000000,172018.938416251,184331.797235023,5521.000000000,599.000000000,0.029283269,1.443163187,15.884820397,-0.017128874
1782915482.124758,0.000000000,0.285001131,1.065934967,0.912130647,0.191599884,0.356031560,1741.632306525,3.927734619,5509.500000000,533.500000000,5366.382458883,380.000000000,174709.361390960,187383.648182623,5532.000000000,590.000000000,0.029115482,1.443115250,16.092881949,-0.016729663
1782915482.135008,0.000000000,0.284944259,1.065850587,0.912146116,0.191537349,0.356116869,1739.387597917,3.927756481,5511.000000000,536.000000000,5366.178429112,380.000000000,176789.539339083,190435.499130222,5541.000000000,590.000000000,0.028923734,1.443019376,16.075902154,-0.018706534
1782915482.144949,0.000000000,0.284901595,1.065787245,0.912157714,0.191490436,0.356180854,1758.099269568,3.927772785,5511.500000000,536.500000000,5365.945225771,380.000000000,177684.590263007,191045.869319742,5512.000000000,560.000000000,0.028779908,1.442947463,16.251692644,-0.014467815
1782915482.154711,0.000000000,0.284860352,1.065725981,0.912169305,0.191427298,0.356266154,1744.668508195,3.927794394,5513.500000000,540.000000000,5365.770279370,380.000000000,180339.635157344,195318.460646382,5529.000000000,590.000000000,0.028588159,1.442875565,16.131313597,-0.019643162
1782915482.164857,0.000000000,0.284835449,1.065688971,0.912177031,0.191355456,0.356362107,1555.857671040,3.927818531,5511.500000000,543.000000000,5365.537007308,380.000000000,178182.919024447,198980.681783502,5477.000000000,551.000000000,0.028372450,1.442827628,14.389342890,-0.021260721
1782915482.174988,0.000000000,0.284793480,1.065626572,0.912188616,0.191300409,0.356436739,1500.312467146,3.927837179,5511.500000000,545.000000000,5365.274538368,380.000000000,178503.325457769,201422.162541581,5537.000000000,566.000000000,0.028204663,1.442755715,13.878473355,-0.016561551
1782915482.184887,0.000000000,0.284736576,1.065541913,0.912204054,0.191237826,0.356522024,1510.283132083,3.927858355,5511.500000000,545.000000000,5365.070345382,380.000000000,178752.592081191,201422.162541581,5520.000000000,563.000000000,0.028012915,1.442659841,13.973973332,-0.019370650
1782915482.194733,0.000000000,0.284695313,1.065480485,0.912215626,0.191174648,0.356607304,1399.605431442,3.927879386,5509.000000000,545.000000000,5364.836955517,380.000000000,175985.649565152,201422.162541581,5476.000000000,531.000000000,0.027821167,1.442587943,12.952950410,-0.019473837
1782915482.204651,0.000000000,0.284668979,1.065441263,0.912223339,0.191118992,0.356681924,1462.274782042,3.927897671,5509.000000000,543.500000000,5364.603526386,380.000000000,176270.605932172,199591.051973022,5533.000000000,544.000000000,0.027653380,1.442540006,13.535706161,-0.016917881
1782915482.214638,0.000000000,0.284614178,1.065359601,0.912238758,0.191032029,0.356799160,1438.069540151,3.927926177,5509.000000000,544.500000000,5364.399234611,380.000000000,176519.993150218,200811.792352062,5497.000000000,545.000000000,0.027389748,1.442444132,13.315926398,-0.026398405
1782915482.224636,0.000000000,0.284588543,1.065321380,0.912246465,0.190968235,0.356884423,1231.571499844,3.927946740,5505.500000000,546.000000000,5364.078185415,380.000000000,172639.319540533,202642.902920621,5476.000000000,564.000000000,0.027198000,1.442396195,11.406505798,-0.019177576
1782915482.235121,0.000000000,0.284529485,1.065233278,0.912261872,0.190929956,0.356937721,1379.698908438,3.927959520,5509.000000000,547.000000000,5363.844628667,380.000000000,177197.023020710,203863.643299661,5537.000000000,605.000000000,0.027078135,1.442300321,12.780291392,-0.011432892
1782915482.244833,0.000000000,0.284489601,1.065173741,0.912273423,0.190850489,0.357044283,1386.829015618,3.927984905,5509.000000000,547.000000000,5363.698608528,380.000000000,177375.275700202,203863.643299661,5507.000000000,532.000000000,0.026838465,1.442228408,12.850090474,-0.024676584
1782915482.254849,0.000000000,0.284447601,1.065111011,0.912284966,0.190795371,0.357118880,1401.087931305,3.928002542,5509.000000000,547.000000000,5363.406594847,380.000000000,177731.748592399,203863.643299661,5504.000000000,512.000000000,0.026670678,1.442156510,12.984864894,-0.016751964
1782915482.264977,0.000000000,0.284405595,1.065048240,0.912296505,0.190740245,0.357193473,1533.146056671,3.928020069,5511.500000000,547.000000000,5363.202126976,380.000000000,181033.201726536,203863.643299661,5520.000000000,541.000000000,0.026502891,1.442084612,14.211644628,-0.016566620
1782915482.274965,0.000000000,0.284366401,1.064989638,0.912308042,0.190652617,0.357310668,1421.057574382,3.928047384,5509.000000000,547.000000000,5362.997629038,380.000000000,178230.989669319,203863.643299661,5408.000000000,467.000000000,0.026239260,1.442012699,13.176859968,-0.026395254
1782915482.284884,0.000000000,0.284340743,1.064951258,0.912315730,0.190588764,0.357395901,1490.462677099,3.928067080,5511.500000000,549.000000000,5362.676255912,380.000000000,181675.153767885,206305.124057741,5536.000000000,591.000000000,0.026047511,1.441964762,13.823651289,-0.019331074
1782915482.294782,0.000000000,0.284278117,1.064857526,0.912331099,0.190591093,0.357395901,1379.804629846,3.928067080,5509.000000000,549.000000000,5362.442463559,380.000000000,178908.702586579,206305.124057741,5470.000000000,533.000000000,0.026047511,1.441868888,12.797326859,0.000000000
1782915482.304707,0.000000000,0.284221135,1.064772175,0.912346459,0.190528394,0.357481130,1282.145399523,3.928086631,5507.000000000,549.000000000,5362.442463559,380.000000000,176467.221828499,206305.124057741,5494.000000000,552.000000000,0.025855763,1.441773013,11.894339653,-0.019319929
1782915482.314778,0.000000000,0.284210425,1.064756126,0.912350297,0.190472067,0.357555704,1293.563307593,3.928103621,5507.000000000,549.000000000,5362.208631938,380.000000000,176752.669530252,206305.124057741,5507.000000000,514.000000000,0.025687976,1.441749052,12.002713958,-0.016659565
1782915482.324928,0.000000000,0.284152726,1.064669624,0.912365647,0.190417478,0.357630275,1401.215224118,3.928120500,5509.000000000,549.000000000,5362.003987970,380.000000000,179443.967443361,206305.124057741,5533.000000000,527.000000000,0.025520189,1.441653178,13.004250143,-0.016530430
1782915482.334898,0.000000000,0.284112794,1.064609721,0.912377156,0.190337909,0.357736786,1447.831589844,3.928144418,5511.500000000,551.500000000,5361.799313935,380.000000000,182745.672249835,209356.975005341,5544.000000000,599.000000000,0.025280519,1.441581265,13.440802383,-0.024039266
1782915482.344822,0.000000000,0.284055081,1.064523087,0.912392491,0.190283301,0.357811348,1445.019612702,3.928161028,5511.500000000,552.000000000,5361.506901469,380.000000000,183102.631953944,209967.345194861,5508.000000000,578.000000000,0.025112732,1.441485391,13.417436887,-0.016907719
1782915482.354753,0.000000000,0.284013736,1.064460984,0.912403986,0.190219970,0.357896552,1455.017332350,3.928179876,5511.500000000,552.000000000,5361.302154419,380.000000000,183352.574945142,209967.345194861,5523.000000000,598.000000000,0.024920984,1.441413493,13.513421001,-0.019306943
1782915482.364846,0.000000000,0.283972377,1.064398824,0.912415479,0.190156631,0.357981751,1612.933433394,3.928198578,5514.500000000,552.000000000,5361.068131367,380.000000000,187300.477471240,209967.345194861,5564.000000000,584.000000000,0.024729236,1.441341580,14.983555843,-0.018998630
1782915482.374636,0.000000000,0.283931727,1.064337698,0.912426964,0.190085145,0.358077591,1624.362606371,3.928219445,5514.500000000,552.000000000,5360.834069048,380.000000000,187586.206795679,209967.345194861,5437.000000000,488.000000000,0.024513526,1.441269682,15.093688321,-0.022034290
1782915482.384897,0.000000000,0.283920285,1.064320488,0.912430793,0.190036894,0.358141489,1654.312638978,3.928233257,5514.500000000,551.500000000,5360.570711099,380.000000000,187907.698478178,209356.975005341,5535.000000000,545.000000000,0.024369700,1.441245706,15.374675125,-0.014017009
1782915482.394949,0.000000000,0.283849696,1.064214249,0.912449924,0.189950275,0.358258607,1716.600860000,3.928258363,5517.000000000,553.500000000,5360.395087263,380.000000000,191173.940534387,211798.455763421,5544.000000000,615.000000000,0.024106069,1.441125871,15.958677849,-0.026226223
1782915482.404734,0.000000000,0.283791943,1.064127257,0.912465219,0.189895612,0.358333142,1663.961252732,3.928274199,5517.000000000,555.500000000,5360.073113520,380.000000000,191566.986883357,214239.936521500,5507.000000000,592.000000000,0.023938282,1.441029997,15.472460552,-0.017147069
1782915482.414732,0.000000000,0.283751261,1.064065938,0.912476687,0.189824081,0.358428958,1656.878883629,3.928294396,5517.000000000,556.000000000,5359.868156013,380.000000000,191817.186788436,214850.306711020,5567.000000000,634.000000000,0.023722573,1.440958084,15.410645061,-0.021575571
1782915482.424831,0.000000000,0.283724140,1.064025042,0.912484328,0.189776379,0.358492841,1686.837813864,3.928307761,5517.000000000,555.500000000,5359.604615846,380.000000000,192138.900911646,214239.936521500,5523.000000000,543.000000000,0.023578747,1.440910147,15.692036255,-0.014242038
1782915482.435359,0.000000000,0.283667073,1.063938942,0.912499605,0.189713549,0.358578005,1768.663813522,3.928325453,5518.500000000,555.500000000,5359.428870514,380.000000000,194184.550903112,214239.936521500,5520.000000000,521.000000000,0.023386999,1.440814273,16.457068186,-0.018212595
1782915482.444807,0.000000000,0.283643465,1.063903305,0.912507241,0.189625119,0.358695087,1775.223446912,3.928349541,5517.000000000,553.500000000,5359.194533322,380.000000000,192639.505207206,211798.455763421,5512.000000000,541.000000000,0.023123367,1.440766336,16.523396427,-0.027904659
1782915482.455011,0.000000000,0.283570007,1.063792346,0.912526318,0.189570989,0.358769599,1795.841772947,3.928364730,5518.500000000,555.500000000,5358.872282891,380.000000000,194863.999888728,214239.936521500,5525.000000000,576.000000000,0.022955580,1.440646501,16.718714975,-0.016442373
1782915482.465047,0.000000000,0.283528593,1.063729743,0.912537761,0.189507547,0.358854746,1805.858367890,3.928381952,5518.500000000,555.500000000,5358.667149287,380.000000000,195114.414762297,214239.936521500,5550.000000000,618.000000000,0.022763832,1.440574588,16.815882583,-0.019106048
1782915482.474777,0.000000000,0.283486480,1.063666049,0.912549196,0.189452240,0.358929250,1873.461251693,3.928396904,5520.000000000,556.000000000,5358.432684479,380.000000000,197231.745990028,214850.306711020,5554.000000000,594.000000000,0.022596045,1.440502689,17.448946006,-0.017244970
1782915482.484963,0.000000000,0.283445057,1.063603363,0.912560629,0.189388779,0.359014388,1951.842453831,3.928413855,5520.000000000,554.000000000,5358.227486447,380.000000000,197482.239512831,212408.825952940,5469.000000000,498.000000000,0.022404297,1.440430776,18.183202365,-0.018823874
