__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1784017887.544211,,,,7901.000000000,412.000000000,0.000000000
1784017887.544246,1.301127315,0.376496434,0.000000000,,,
1784017887.554227,,,,7916.000000000,435.000000000,0.000000000
1784017887.554278,1.301151276,0.376520395,0.000000000,,,
1784017887.564156,,,,7953.000000000,419.000000000,0.000000000
1784017887.564183,1.301151276,0.376496434,0.000000000,,,
1784017887.574393,,,,7905.000000000,412.000000000,0.000000000
1784017887.574447,1.301151276,0.376496434,0.000000000,,,
1784017887.584414,,,,7937.000000000,411.000000000,0.000000000
1784017887.584471,1.301079392,0.376496434,0.000000000,,,
1784017887.594356,,,,7904.000000000,400.000000000,0.000000000
1784017887.594443,1.301103354,0.376496434,0.000000000,,,
1784017887.604208,,,,7854.000000000,344.000000000,0.000000000
1784017887.604254,1.301151276,0.376496434,0.000000000,,,
1784017887.614258,,,,7870.000000000,367.000000000,0.000000000
1784017887.614296,1.301151276,0.376496434,0.000000000,,,
1784017887.624212,,,,7881.000000000,368.000000000,0.000000000
1784017887.624246,1.301151276,0.376520395,0.000000000,,,
1784017887.634246,,,,7909.000000000,440.000000000,0.000000000
1784017887.634290,1.301055431,0.376496434,0.000000000,,,
1784017887.644197,,,,7917.000000000,404.000000000,0.000000000
1784017887.644239,1.301079392,0.376496434,0.000000000,,,
1784017887.654433,,,,7913.000000000,414.000000000,0.000000000
1784017887.654493,1.301103354,0.376496434,0.000000000,,,
1784017887.664187,,,,7881.000000000,391.000000000,0.000000000
1784017887.664230,1.301151276,0.376496434,0.000000000,,,
1784017887.674237,,,,7951.000000000,396.000000000,0.000000000
1784017887.674266,1.301151276,0.376496434,0.000000000,,,
1784017887.684269,,,,7867.000000000,369.000000000,0.000000000
1784017887.684298,1.301151276,0.376472443,0.000000000,,,
1784017887.694508,,,,7892.000000000,387.000000000,0.000000000
1784017887.694578,1.301031470,0.376496434,0.000000000,,,
1784017887.704334,,,,7894.000000000,365.000000000,0.000000000
1784017887.704401,1.301055431,0.376496434,0.000000000,,,
1784017887.714521,,,,7866.000000000,358.000000000,0.000000000
1784017887.714607,1.301151276,0.376496434,0.000000000,,,
1784017887.724365,,,,7927.000000000,396.000000000,0.000000000
1784017887.724424,1.301127315,0.376496434,0.000000000,,,
1784017887.734226,,,,7894.000000000,381.000000000,0.000000000
1784017887.734265,1.301127315,0.376496434,0.000000000,,,
1784017887.744185,,,,7884.000000000,375.000000000,0.000000000
1784017887.744218,1.301031470,0.376496434,0.000000000,,,
1784017887.754243,,,,7943.000000000,410.000000000,0.000000000
1784017887.754290,1.301031470,0.376472443,0.000000000,,,
1784017887.764282,,,,7914.000000000,377.000000000,0.000000000
1784017887.764349,1.301055431,0.376496434,0.000000000,,,
1784017887.774482,,,,7923.000000000,411.000000000,0.000000000
1784017887.774556,1.301127315,0.376496434,0.000000000,,,
1784017887.784425,,,,7937.000000000,396.000000000,0.000000000
1784017887.784499,1.301127315,0.376472443,0.000000000,,,
1784017887.794278,,,,7967.000000000,434.000000000,0.000000000
1784017887.794333,1.301127315,0.376472443,0.000000000,,,
1784017887.804191,,,,7929.000000000,416.000000000,0.000000000
1784017887.804219,1.301007509,0.376496434,0.000000000,,,
1784017887.814292,,,,7890.000000000,399.000000000,0.000000000
1784017887.814356,1.301031470,0.376496434,0.000000000,,,
1784017887.824227,,,,7890.000000000,360.000000000,0.000000000
