__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782819282.627318,0.177294627,-0.000527382,0.000000000,,,
1782819282.636971,,,,4616.000000000,353.000000000,0.000000000
1782819282.637020,0.177270666,-0.000503540,0.000000000,,,
1782819282.647187,,,,4610.000000000,375.000000000,0.000000000
1782819282.647250,0.177294627,-0.000503540,0.000000000,,,
1782819282.657018,,,,4654.000000000,408.000000000,0.000000000
1782819282.657081,0.177270666,-0.000503540,0.000000000,,,
1782819282.667177,,,,4626.000000000,372.000000000,0.000000000
1782819282.667256,0.177270666,-0.000503540,0.000000000,,,
1782819282.677340,,,,4642.000000000,371.000000000,0.000000000
1782819282.677384,0.177294627,-0.000551224,0.000000000,,,
1782819282.687079,,,,4646.000000000,388.000000000,0.000000000
1782819282.687151,0.177294627,-0.000503540,0.000000000,,,
1782819282.696968,,,,4615.000000000,353.000000000,0.000000000
1782819282.697044,0.177294627,-0.000503540,0.000000000,,,
1782819282.707134,,,,4631.000000000,395.000000000,0.000000000
1782819282.707199,0.177294627,-0.000503540,0.000000000,,,
1782819282.717233,,,,4606.000000000,383.000000000,0.000000000
1782819282.717335,0.177270666,-0.000503540,0.000000000,,,
1782819282.726999,,,,4685.000000000,403.000000000,0.000000000
1782819282.727045,0.177270666,-0.000503540,0.000000000,,,
1782819282.737020,,,,4600.000000000,340.000000000,0.000000000
1782819282.737081,0.177318603,-0.000527382,0.000000000,,,
1782819282.747067,,,,4668.000000000,392.000000000,0.000000000
1782819282.747125,0.177294627,-0.000503540,0.000000000,,,
1782819282.757037,,,,4633.000000000,380.000000000,0.000000000
1782819282.757118,0.177270666,-0.000503540,0.000000000,,,
1782819282.766861,,,,4653.000000000,404.000000000,0.000000000
1782819282.766912,0.177270666,-0.000503540,0.000000000,,,
1782819282.777317,,,,4688.000000000,393.000000000,0.000000000
1782819282.777394,0.177270666,-0.000527382,0.000000000,,,
1782819282.786843,,,,4646.000000000,379.000000000,0.000000000
1782819282.786894,0.177270666,-0.000503540,0.000000000,,,
1782819282.797023,,,,4614.000000000,375.000000000,0.000000000
1782819282.797061,0.177318603,-0.000527382,0.000000000,,,
1782819282.806961,,,,4641.000000000,393.000000000,0.000000000
1782819282.807000,0.177294627,-0.000503540,0.000000000,,,
1782819282.817050,,,,4637.000000000,380.000000000,0.000000000
1782819282.817101,0.177270666,-0.000503540,0.000000000,,,
1782819282.827155,,,,4625.000000000,377.000000000,0.000000000
1782819282.827224,0.177294627,-0.000503540,0.000000000,,,
1782819282.836945,,,,4598.000000000,368.000000000,0.000000000
1782819282.837006,0.177270666,-0.000527382,0.000000000,,,
1782819282.847154,,,,4584.000000000,333.000000000,0.000000000
1782819282.847210,0.177270666,-0.000527382,0.000000000,,,
1782819282.857088,,,,4673.000000000,399.000000000,0.000000000
1782819282.857146,0.177294627,-0.000503540,0.000000000,,,
1782819282.867202,,,,4627.000000000,380.000000000,0.000000000
1782819282.867318,0.177294627,-0.000503540,0.000000000,,,
1782819282.877113,,,,4661.000000000,389.000000000,0.000000000
1782819282.877174,0.177270666,-0.000503540,0.000000000,,,
1782819282.887170,,,,4649.000000000,431.000000000,0.000000000
1782819282.887262,0.177294627,-0.000527382,0.000000000,,,
1782819282.897093,,,,4662.000000000,389.000000000,0.000000000
1782819282.897147,0.177270666,-0.000527382,0.000000000,,,
1782819282.907101,,,,4674.000000000,412.000000000,0.000000000
1782819282.907163,0.177270666,-0.000527382,0.000000000,,,
1782819282.917110,,,,4658.000000000,396.000000000,0.000000000
1782819282.917173,0.177294627,-0.000527382,0.000000000,,,
1782819282.927075,,,,4666.000000000,391.000000000,0.000000000
1782819282.927139,0.177294627,-0.000503540,0.000000000,,,
1782819282.937085,,,,4659.000000000,397.000000000,0.000000000
1782819282.937148,0.177270666,-0.000503540,0.000000000,,,
1782819282.947014,,,,4580.000000000,328.000000000,0.000000000
1782819282.947051,0.177270666,-0.000527382,0.000000000,,,
1782819282.957034,,,,4604.000000000,371.000000000,0.000000000
1782819282.957082,0.177270666,-0.000479221,0.000000000,,,
1782819282.967235,,,,4614.000000000,363.000000000,0.000000000
1782819282.967330,0.177270666,-0.000527382,0.000000000,,,
1782819282.977128,,,,4665.000000000,402.000000000,0.000000000
1782819282.977181,0.177294627,-0.000527382,0.000000000,,,
1782819282.986963,,,,4612.000000000,396.000000000,0.000000000
1782819282.987018,0.177294627,-0.000527382,0.000000000,,,
1782819282.997026,,,,4623.000000000,375.000000000,0.000000000
1782819282.997084,0.177270666,-0.000503540,0.000000000,,,
1782819283.007060,,,,4645.000000000,383.000000000,0.000000000
1782819283.007121,0.177270666,-0.000527382,0.000000000,,,
1782819283.017368,,,,4615.000000000,352.000000000,0.000000000
1782819283.017436,0.177270666,-0.000527382,0.000000000,,,
1782819283.027048,,,,4646.000000000,403.000000000,0.000000000
1782819283.027103,0.177270666,-0.000527382,0.000000000,,,
1782819283.036973,,,,4622.000000000,367.000000000,0.000000000
1782819283.037028,0.177294627,-0.000527382,0.000000000,,,
