__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041861.869645,6981.000000000,443.000000000,0.518845022,0.070706926,0.179761302,0.004783493
1784041861.879657,6968.000000000,459.000000000,0.518845022,0.070730895,0.005360199,0.003619100
1784041861.889324,6922.000000000,459.000000000,0.518821061,0.070778832,-0.304952036,-0.001217606
1784041861.899370,6902.000000000,490.000000000,0.518869042,0.070754863,-0.121777490,0.001218539
1784041861.909722,6854.000000000,471.000000000,0.518845022,0.070730895,0.117277054,0.001174655
1784041861.919586,6901.000000000,490.000000000,0.518821061,0.070706926,-0.177684320,-0.002373483
1784041861.929774,6852.000000000,465.000000000,0.518869042,0.070706926,0.001159568,0.001197907
1784041861.939314,6945.000000000,517.000000000,0.518845022,0.070754863,0.181876920,0.001214575
1784041861.949364,6764.000000000,393.000000000,0.518797100,0.070730895,-0.248626010,-0.003672533
1784041861.959831,6889.000000000,477.000000000,0.518821061,0.070730895,-0.116121317,-0.001167871
1784041861.969895,6854.000000000,453.000000000,0.518821061,0.070706926,0.235722493,0.001167071
1784041861.979783,6891.000000000,505.000000000,0.518893003,0.070682958,0.239251240,0.003605741
1784041861.989671,6855.000000000,466.000000000,0.518869042,0.070706926,0.063667138,0.002426190
1784041861.999324,6886.000000000,479.000000000,0.518845022,0.070754863,-0.310171686,-0.002455406
1784041862.009395,6872.000000000,497.000000000,0.518821061,0.070754863,-0.246339430,-0.002432642
1784041862.019730,6910.000000000,520.000000000,0.518821061,0.070706926,0.062784873,-0.001174203
1784041862.029827,6882.000000000,479.000000000,0.518821061,0.070706926,0.119060399,0.000000000
1784041862.039812,6848.000000000,459.000000000,0.518869042,0.070682958,0.177447185,0.002389291
1784041862.049650,6936.000000000,504.000000000,0.518821061,0.070778832,0.000000000,0.000000000
1784041862.059458,6872.000000000,446.000000000,0.518821061,0.070754863,-0.245939204,-0.002442354
1784041862.069322,6843.000000000,428.000000000,0.518821061,0.070754863,0.000000000,0.000000000
1784041862.079510,6895.000000000,436.000000000,0.518797100,0.070682958,0.062208657,-0.001194949
1784041862.089669,6886.000000000,484.000000000,0.518869042,0.070706926,0.115888310,0.002358076
