__time,/debug/f,/debug/fc,/debug/lw,/debug/median_pb,/debug/median_pr,/debug/offset_pb,/debug/offset_pr,/debug/pb,/debug/pr,/debug/raw_pb,/debug/raw_pr,/debug/theta_g,/debug/theta_i,/debug/theta_t,/debug/w
1782988528.237430,0.331463715,212941.068758202,3.433204250,4629.000000000,383.000000000,0.000000000,0.000000000,5650807.214575640,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.688712706
1782988528.247442,0.331463715,212892.239143040,3.433204250,4628.000000000,383.000000000,0.000000000,0.000000000,5649586.474196600,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.208149356
1782988528.257379,0.331463715,212941.068758202,3.433204250,4629.000000000,383.000000000,0.000000000,0.000000000,5650807.214575640,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.688712706
1782988528.267405,0.331463715,212906.888027589,3.433204250,4629.000000000,384.000000000,0.000000000,0.000000000,5650807.214575640,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.352318361
1782988528.277645,0.331450824,212897.122104556,3.433250047,4629.500000000,385.000000000,0.000000000,0.000000000,5651417.584765160,469985.045930357,0.000000000,0.000000000,0.177246690,-175.397788368,-0.000527382,2095.146770667
1782988528.287380,0.331463715,212872.707296976,3.433204250,4629.000000000,385.000000000,0.000000000,0.000000000,5650807.214575640,469985.045930357,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.015924016
1782988528.297382,0.331463715,212906.888027589,3.433204250,4629.000000000,384.000000000,0.000000000,0.000000000,5650807.214575640,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.352318361
1782988528.307354,0.331463715,212821.436201056,3.433204250,4629.000000000,386.500000000,0.000000000,0.000000000,5650807.214575640,471816.156498917,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2094.511332499
1782988528.317564,0.331463715,212821.436201056,3.433204250,4629.000000000,386.500000000,0.000000000,0.000000000,5650807.214575640,471816.156498917,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.511332499
1782988528.327400,0.331463715,212858.058412427,3.433204250,4628.000000000,384.000000000,0.000000000,0.000000000,5649586.474196600,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2094.871755011
1782988528.337396,0.331463715,212892.239143040,3.433204250,4628.000000000,383.000000000,0.000000000,0.000000000,5649586.474196600,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.208149356
1782988528.347419,0.331463715,212877.590258492,3.433204250,4627.000000000,382.000000000,0.000000000,0.000000000,5648365.733817561,466322.824793237,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.063980351
1782988528.357394,0.331463715,212877.590258492,3.433204250,4627.000000000,382.000000000,0.000000000,0.000000000,5648365.733817561,466322.824793237,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000527382,2095.063980351
1782988528.367681,0.331463715,212892.239143040,3.433204250,4628.000000000,383.000000000,0.000000000,0.000000000,5649586.474196600,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.208149356
1782988528.377427,0.331463715,212892.239143040,3.433204250,4628.000000000,383.000000000,0.000000000,0.000000000,5649586.474196600,467543.565172277,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.208149356
1782988528.387382,0.331463715,212906.888027589,3.433204250,4629.000000000,384.000000000,0.000000000,0.000000000,5650807.214575640,468764.305551317,0.000000000,0.000000000,0.177222729,-175.397765507,-0.000503540,2095.352318361
