__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,__time,acc_g,vel_g
1784041385.552674,7765.000000000,363.000000000,0.480447590,0.039116513,1784041385.552674055,0.299740914,0.004798170
1784041385.562662,7775.000000000,376.000000000,0.480399638,0.039116513,1784041385.562661886,0.000000000,0.000000000
1784041385.572720,7795.000000000,404.000000000,0.480399638,0.039092544,1784041385.572720051,-0.358694037,-0.002392124
1784041385.582675,7795.000000000,375.000000000,0.480375677,0.039092544,1784041385.582674980,-0.059828585,-0.001197312
1784041385.592594,7775.000000000,406.000000000,0.480375677,0.039092544,1784041385.592593908,0.059699877,-0.001205629
1784041385.602633,7773.000000000,372.000000000,0.480351716,0.039140478,1784041385.602632999,-0.000163398,-0.001200573
1784041385.612615,7775.000000000,379.000000000,0.480423629,0.039140478,1784041385.612615108,0.179847266,0.002395087
1784041385.622540,7803.000000000,388.000000000,0.480399638,0.039116513,1784041385.622539997,0.181225632,0.002407214
1784041385.632604,7785.000000000,379.000000000,0.480399638,0.039092544,1784041385.632603884,-0.179863269,-0.001200203
1784041385.642625,7771.000000000,400.000000000,0.480375677,0.039092544,1784041385.642625093,-0.179255431,-0.001193020
1784041385.652534,7791.000000000,400.000000000,0.480351716,0.039092544,1784041385.652534008,-0.060432855,-0.002404594
1784041385.662574,7780.000000000,377.000000000,0.480351716,0.039140478,1784041385.662574053,-0.000405972,-0.001201119
1784041385.672584,7799.000000000,388.000000000,0.480351716,0.039140478,1784041385.672584057,0.119929576,0.000000000
1784041385.682507,7789.000000000,371.000000000,0.480399638,0.039068576,1784041385.682507038,0.180870102,0.002404162
1784041385.692610,7768.000000000,396.000000000,0.480375677,0.039068576,1784041385.692610025,0.059747412,0.001196500
1784041385.702555,7800.000000000,403.000000000,0.480399638,0.039092544,1784041385.702554941,-0.119915188,0.000000000
1784041385.712818,7797.000000000,391.000000000,0.480375677,0.039140478,1784041385.712817907,-0.059208163,0.000000000
1784041385.722596,7795.000000000,376.000000000,0.480351716,0.039140478,1784041385.722595930,-0.119321450,-0.002391263
1784041385.732563,7776.000000000,389.000000000,0.480423629,0.039140478,1784041385.732563019,0.123000804,0.002428606
1784041385.742564,7767.000000000,344.000000000,0.480423629,0.039068576,1784041385.742563963,0.300118900,0.003601450
1784041385.752611,7793.000000000,389.000000000,0.480423629,0.039092544,1784041385.752610922,-0.121137266,0.000000000
1784041385.762629,7787.000000000,383.000000000,0.480375677,0.039092544,1784041385.762629032,-0.298597065,-0.002389850
