__time,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_t,a_g,w_g
1784041622.202941,7705.000000000,345.000000000,0.475989461,0.037989993,0.533175467,0.005937053
1784041622.213145,7744.000000000,338.000000000,0.475989461,0.037966024,0.529235411,0.005927531
1784041622.222853,7773.000000000,385.000000000,0.475965500,0.037966024,-0.358592792,-0.001203333
1784041622.232807,7748.000000000,384.000000000,0.475893587,0.037894119,-0.549471975,-0.004876134
1784041622.242901,7768.000000000,377.000000000,0.475893587,0.037894119,-0.118897932,-0.003587016
1784041622.253230,7745.000000000,372.000000000,0.475869626,0.037989993,0.181310406,-0.001173243
1784041622.262931,7732.000000000,350.000000000,0.475989461,0.038013961,0.418049202,0.004786519
1784041622.272846,7741.000000000,356.000000000,0.475989461,0.038013961,0.371254719,0.006109160
1784041622.283144,7748.000000000,357.000000000,0.475989461,0.037894119,-0.236799685,0.000000000
1784041622.292857,7741.000000000,367.000000000,0.475893587,0.037894119,-0.544704502,-0.004791024
1784041622.302754,7663.000000000,286.000000000,0.475893587,0.037894119,-0.249315434,-0.004889058
1784041622.312897,7753.000000000,375.000000000,0.475965500,0.037989993,0.418116211,0.003588339
1784041622.323121,7709.000000000,341.000000000,0.475989461,0.038013961,0.471200937,0.004707511
1784041622.332789,7799.000000000,418.000000000,0.475989461,0.037870150,-0.119838359,0.001204603
1784041622.342912,7717.000000000,342.000000000,0.475869626,0.037870150,-0.543773832,-0.006054775
1784041622.352896,7687.000000000,301.000000000,0.475893587,0.037894119,-0.297030777,-0.004768017
1784041622.363108,7764.000000000,392.000000000,0.475893587,0.037989993,0.358561878,0.001186471
1784041622.372893,7737.000000000,361.000000000,0.475965500,0.038013961,0.418290869,0.003596297
1784041622.382791,7781.000000000,389.000000000,0.475989461,0.037989993,0.187191336,0.004870936
1784041622.392784,7757.000000000,383.000000000,0.475989461,0.037918087,-0.120237710,0.001204588
1784041622.402796,7783.000000000,410.000000000,0.475989461,0.037894119,-0.243483181,0.000000000
1784041622.412743,7769.000000000,419.000000000,0.475893587,0.037894119,-0.301037729,-0.004803672
