__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
36.939878,51.752473000,5503.191814000,428.057458000,5504.000000000,432.000000000,5504.000000000,454.000000000,36.939878000
36.949894,51.752473000,5505.672633000,430.651712000,5504.000000000,432.000000000,5528.000000000,454.000000000,36.949894000
36.949911,51.751100000,5507.905369000,432.986541000,5504.000000000,432.000000000,5528.000000000,454.000000000,36.949911000
36.959842,51.751100000,5505.114832000,431.187887000,5503.000000000,426.000000000,5480.000000000,415.000000000,36.959842000
36.959876,51.752473000,5502.603349000,429.569098000,5502.000000000,420.000000000,5480.000000000,415.000000000,36.959876000
36.969808,51.752473000,5504.843014000,428.212188000,5503.000000000,420.000000000,5525.000000000,416.000000000,36.969808000
36.969839,51.751100000,5506.858713000,426.990970000,5504.000000000,420.000000000,5525.000000000,416.000000000,36.969839000
36.979813,51.751100000,5508.872842000,425.491873000,5504.000000000,418.000000000,5527.000000000,412.000000000,36.979813000
36.979845,51.751100000,5510.685557000,424.142685000,5504.000000000,416.000000000,5527.000000000,412.000000000,36.979845000
36.989890,51.751100000,5515.417002000,426.828417000,5508.000000000,418.000000000,5558.000000000,451.000000000,36.989890000
36.989922,51.752473000,5519.675301000,429.245575000,5512.000000000,420.000000000,5558.000000000,451.000000000,36.989922000
36.999774,51.752473000,5514.307771000,425.521018000,5512.000000000,420.000000000,5466.000000000,392.000000000,36.999774000
36.999812,51.751100000,5509.476994000,422.168916000,5512.000000000,420.000000000,5466.000000000,392.000000000,36.999812000
37.009894,51.751100000,5503.929295000,415.952024000,5508.000000000,418.000000000,5454.000000000,360.000000000,37.009894000
37.009929,51.752473000,5498.936365000,410.356822000,5504.000000000,416.000000000,5454.000000000,360.000000000,37.009929000
37.019706,51.752473000,5502.742729000,414.721140000,5508.000000000,418.000000000,5537.000000000,454.000000000,37.019706000
37.019728,51.751100000,5506.168456000,418.649026000,5512.000000000,420.000000000,5537.000000000,454.000000000,37.019728000
37.029790,51.751100000,5506.251610000,419.184123000,5509.500000000,420.000000000,5507.000000000,424.000000000,37.029790000
37.029810,51.752473000,5506.326449000,419.665711000,5507.000000000,420.000000000,5507.000000000,424.000000000,37.029810000
37.039860,51.752473000,5504.593804000,418.899140000,5505.500000000,418.000000000,5489.000000000,412.000000000,37.039860000
37.039886,51.751100000,5503.034424000,418.209226000,5504.000000000,416.000000000,5489.000000000,412.000000000,37.039886000
37.049820,51.751100000,5506.630982000,421.888303000,5505.500000000,418.000000000,5539.000000000,455.000000000,37.049820000
37.049862,51.751100000,5509.867883000,425.199473000,5507.000000000,420.000000000,5539.000000000,455.000000000,37.049862000
37.059802,51.751100000,5509.381095000,425.679526000,5506.000000000,420.000000000,5505.000000000,430.000000000,37.059802000
37.059842,51.751100000,5508.942986000,426.111573000,5505.000000000,420.000000000,5505.000000000,430.000000000,37.059842000
37.069724,51.751100000,5509.548687000,427.400416000,5505.000000000,420.000000000,5515.000000000,439.000000000,37.069724000
37.069756,51.751100000,5510.093818000,428.560374000,5505.000000000,420.000000000,5515.000000000,439.000000000,37.069756000
37.079799,51.751100000,5512.284436000,430.304337000,5505.000000000,420.000000000,5532.000000000,446.000000000,37.079799000
37.079827,51.751100000,5514.255993000,431.873903000,5505.000000000,420.000000000,5532.000000000,446.000000000,37.079827000
37.089816,51.751100000,5514.330394000,430.686513000,5506.000000000,420.000000000,5515.000000000,420.000000000,37.089816000
37.089852,51.751100000,5514.397354000,429.617861000,5507.000000000,420.000000000,5515.000000000,420.000000000,37.089852000
37.099844,51.751100000,5516.257619000,428.156075000,5509.500000000,420.000000000,5533.000000000,415.000000000,37.099844000
37.099896,51.751100000,5517.931857000,426.840468000,5512.000000000,420.000000000,5533.000000000,415.000000000,37.099896000
37.109833,51.751100000,5516.238671000,425.656421000,5512.000000000,420.000000000,5501.000000000,415.000000000,37.109833000
37.109877,51.751100000,5514.714804000,424.590779000,5512.000000000,420.000000000,5501.000000000,415.000000000,37.109877000
37.119792,51.751100000,5514.043324000,426.331701000,5510.000000000,420.000000000,5508.000000000,442.000000000,37.119792000
37.119810,51.751100000,5513.438991000,427.898531000,5508.000000000,420.000000000,5508.000000000,442.000000000,37.119810000
37.129829,51.751100000,5515.995092000,432.008678000,5510.000000000,422.000000000,5539.000000000,469.000000000,37.129829000
