__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset,lift,tilt
1782647003.683309,0.716392994,0.115815550,0.000000000,,,,41.046329695,6.635747827
1782647003.693255,,,,5055.000000000,395.000000000,0.000000000,,
1782647003.693299,0.716345072,0.115839519,0.000000000,,,,41.043583957,6.637121123
1782647003.703493,,,,5080.000000000,393.000000000,0.000000000,,
1782647003.703522,0.716345072,0.115839519,0.000000000,,,,41.043583957,6.637121123
1782647003.713155,,,,5053.000000000,375.000000000,0.000000000,,
1782647003.713184,0.716321111,0.115839519,0.000000000,,,,41.042211088,6.637121123
1782647003.723188,,,,5111.000000000,410.000000000,0.000000000,,
1782647003.723233,0.716297150,0.115839519,0.000000000,,,,41.040838218,6.637121123
1782647003.733233,,,,5086.000000000,392.000000000,0.000000000,,
1782647003.733269,0.716345072,0.115839519,0.000000000,,,,41.043583957,6.637121123
1782647003.743188,,,,5130.000000000,403.000000000,0.000000000,,
1782647003.743223,0.716297150,0.115863487,0.000000000,,,,41.040838218,6.638494419
1782647003.753209,,,,5164.000000000,385.000000000,0.000000000,,
1782647003.753254,0.716273189,0.115863487,0.000000000,,,,41.039465349,6.638494419
1782647003.763240,,,,5131.000000000,309.000000000,0.000000000,,
1782647003.763285,0.716273189,0.115839519,0.000000000,,,,41.039465349,6.637121123
1782647003.773164,,,,5145.000000000,315.000000000,0.000000000,,
1782647003.773201,0.716225266,0.115839519,0.000000000,,,,41.036719611,6.637121123
1782647003.783243,,,,5238.000000000,381.000000000,0.000000000,,
1782647003.783273,0.716201246,0.115839519,0.000000000,,,,41.035343327,6.637121123
1782647003.793327,,,,5305.000000000,445.000000000,0.000000000,,
1782647003.793391,0.716153324,0.115863487,0.000000000,,,,41.032597588,6.638494419
1782647003.803015,,,,5273.000000000,360.000000000,0.000000000,,
1782647003.803031,0.716129363,0.115839519,0.000000000,,,,41.031224719,6.637121123
1782647003.812958,,,,5348.000000000,371.000000000,0.000000000,,
1782647003.812976,0.716105402,0.115887456,0.000000000,,,,41.029851850,6.639867715
1782647003.823111,,,,5349.000000000,393.000000000,0.000000000,,
1782647003.823171,0.716057479,0.115839519,0.000000000,,,,41.027106111,6.637121123
1782647003.833020,,,,5391.000000000,385.000000000,0.000000000,,
1782647003.833033,0.716057479,0.115863487,0.000000000,,,,41.027106111,6.638494419
1782647003.843012,,,,5399.000000000,416.000000000,0.000000000,,
1782647003.843046,0.716033518,0.115839519,0.000000000,,,,41.025733242,6.637121123
1782647003.853148,,,,5424.000000000,354.000000000,0.000000000,,
1782647003.853210,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647003.863235,,,,5445.000000000,350.000000000,0.000000000,,
1782647003.863301,0.716009498,0.115839519,0.000000000,,,,41.024356958,6.637121123
1782647003.873271,,,,5424.000000000,391.000000000,0.000000000,,
1782647003.873325,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647003.883263,,,,5435.000000000,416.000000000,0.000000000,,
1782647003.883322,0.716009498,0.115839519,0.000000000,,,,41.024356958,6.637121123
1782647003.893015,,,,5408.000000000,356.000000000,0.000000000,,
1782647003.893052,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647003.903154,,,,5517.000000000,412.000000000,0.000000000,,
1782647003.903186,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647003.913166,,,,5422.000000000,337.000000000,0.000000000,,
1782647003.913209,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647003.922992,,,,5454.000000000,423.000000000,0.000000000,,
1782647003.923026,0.715961576,0.115839519,0.000000000,,,,41.021611220,6.637121123
1782647003.932985,,,,5473.000000000,393.000000000,0.000000000,,
1782647003.933016,0.715985537,0.115863487,0.000000000,,,,41.022984089,6.638494419
1782647003.943042,,,,5505.000000000,365.000000000,0.000000000,,
1782647003.943086,0.715985537,0.115791582,0.000000000,,,,41.022984089,6.634374531
1782647003.953031,,,,5447.000000000,393.000000000,0.000000000,,
1782647003.953078,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647003.963135,,,,5466.000000000,465.000000000,0.000000000,,
1782647003.963195,0.716009498,0.115863487,0.000000000,,,,41.024356958,6.638494419
1782647003.973137,,,,5481.000000000,467.000000000,0.000000000,,
1782647003.973188,0.716009498,0.115839519,0.000000000,,,,41.024356958,6.637121123
1782647003.983255,,,,5465.000000000,402.000000000,0.000000000,,
1782647003.983327,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647003.993244,,,,5447.000000000,430.000000000,0.000000000,,
1782647003.993308,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.002900,,,,5449.000000000,442.000000000,0.000000000,,
1782647004.002918,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647004.012919,,,,5478.000000000,453.000000000,0.000000000,,
1782647004.012940,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.023083,,,,5438.000000000,419.000000000,0.000000000,,
1782647004.023119,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.033007,,,,5424.000000000,383.000000000,0.000000000,,
1782647004.033040,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.043105,,,,5470.000000000,428.000000000,0.000000000,,
1782647004.043179,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.053034,,,,5457.000000000,449.000000000,0.000000000,,
1782647004.053075,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647004.063232,,,,5486.000000000,451.000000000,0.000000000,,
1782647004.063277,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.073093,,,,5468.000000000,434.000000000,0.000000000,,
1782647004.073127,0.715961576,0.115839519,0.000000000,,,,41.021611220,6.637121123
1782647004.083096,,,,5429.000000000,414.000000000,0.000000000,,
1782647004.083130,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.093114,,,,5435.000000000,426.000000000,0.000000000,,
1782647004.093146,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.103587,,,,5433.000000000,397.000000000,0.000000000,,
1782647004.103615,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.113589,,,,5461.000000000,423.000000000,0.000000000,,
1782647004.113614,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.123507,,,,5447.000000000,419.000000000,0.000000000,,
1782647004.123545,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.133610,,,,5455.000000000,410.000000000,0.000000000,,
1782647004.133646,0.715985537,0.115839519,0.000000000,,,,41.022984089,6.637121123
1782647004.143589,,,,5453.000000000,430.000000000,0.000000000,,
1782647004.143626,0.715961576,0.115815550,0.000000000,,,,41.021611220,6.635747827
1782647004.153589,,,,5485.000000000,435.000000000,0.000000000,,
1782647004.153620,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.163622,,,,5433.000000000,406.000000000,0.000000000,,
1782647004.163668,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.173604,,,,5446.000000000,450.000000000,0.000000000,,
1782647004.173629,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.183557,,,,5492.000000000,443.000000000,0.000000000,,
1782647004.183592,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.193557,,,,5455.000000000,428.000000000,0.000000000,,
1782647004.193602,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.203681,,,,5435.000000000,402.000000000,0.000000000,,
1782647004.203725,0.715985537,0.115815550,0.000000000,,,,41.022984089,6.635747827
1782647004.213716,,,,5399.000000000,411.000000000,0.000000000,,
1782647004.213745,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.223478,,,,5431.000000000,412.000000000,0.000000000,,
1782647004.223506,0.716009498,0.115815550,0.000000000,,,,41.024356958,6.635747827
1782647004.233570,,,,5418.000000000,436.000000000,0.000000000,,
1782647004.233605,0.716009498,0.115791582,0.000000000,,,,41.024356958,6.634374531
1782647004.243581,,,,5385.000000000,439.000000000,0.000000000,,
1782647004.243599,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.253606,,,,5385.000000000,430.000000000,0.000000000,,
1782647004.253640,0.716033518,0.115815550,0.000000000,,,,41.025733242,6.635747827
1782647004.263626,,,,5359.000000000,427.000000000,0.000000000,,
1782647004.263669,0.716057479,0.115815550,0.000000000,,,,41.027106111,6.635747827
1782647004.273740,,,,5355.000000000,442.000000000,0.000000000,,
1782647004.273794,0.716081440,0.115791582,0.000000000,,,,41.028478981,6.634374531
1782647004.283434,,,,5329.000000000,439.000000000,0.000000000,,
1782647004.283450,0.716057479,0.115791582,0.000000000,,,,41.027106111,6.634374531
1782647004.293501,,,,5360.000000000,450.000000000,0.000000000,,
1782647004.293530,0.716081440,0.115815550,0.000000000,,,,41.028478981,6.635747827
1782647004.303506,,,,5312.000000000,442.000000000,0.000000000,,
1782647004.303539,0.716081440,0.115791582,0.000000000,,,,41.028478981,6.634374531
1782647004.313681,,,,5324.000000000,449.000000000,0.000000000,,
1782647004.313723,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.323482,,,,5320.000000000,473.000000000,0.000000000,,
1782647004.323500,0.716081440,0.115767613,0.000000000,,,,41.028478981,6.633001235
1782647004.333393,,,,5271.000000000,446.000000000,0.000000000,,
1782647004.333422,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.343594,,,,5290.000000000,454.000000000,0.000000000,,
1782647004.343639,0.716105402,0.115767613,0.000000000,,,,41.029851850,6.633001235
1782647004.353503,,,,5246.000000000,443.000000000,0.000000000,,
1782647004.353518,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.363511,,,,5267.000000000,446.000000000,0.000000000,,
1782647004.363545,0.716129363,0.115791582,0.000000000,,,,41.031224719,6.634374531
1782647004.373502,,,,5267.000000000,440.000000000,0.000000000,,
1782647004.373547,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.383493,,,,5285.000000000,463.000000000,0.000000000,,
1782647004.383538,0.716129363,0.115791582,0.000000000,,,,41.031224719,6.634374531
1782647004.393560,,,,5224.000000000,432.000000000,0.000000000,,
1782647004.393590,0.716129363,0.115791582,0.000000000,,,,41.031224719,6.634374531
1782647004.403494,,,,5279.000000000,482.000000000,0.000000000,,
1782647004.403528,0.716129363,0.115815550,0.000000000,,,,41.031224719,6.635747827
1782647004.413506,,,,5256.000000000,470.000000000,0.000000000,,
1782647004.413537,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.423456,,,,5334.000000000,527.000000000,0.000000000,,
1782647004.423499,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.433491,,,,5274.000000000,488.000000000,0.000000000,,
1782647004.433560,0.716129363,0.115767613,0.000000000,,,,41.031224719,6.633001235
1782647004.443379,,,,5250.000000000,432.000000000,0.000000000,,
1782647004.443408,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.453577,,,,5287.000000000,493.000000000,0.000000000,,
1782647004.453620,0.716105402,0.115791582,0.000000000,,,,41.029851850,6.634374531
1782647004.463527,,,,5297.000000000,470.000000000,0.000000000,,
1782647004.463562,0.716105402,0.115815550,0.000000000,,,,41.029851850,6.635747827
1782647004.473396,,,,5321.000000000,489.000000000,0.000000000,,
