__time,lift_angle(deg),lpf_b,lpf_r,median_b,median_r,raw_b,raw_r,time
26.409638,34.995577000,5178.372463000,413.815737000,5166.000000000,404.000000000,5157.000000000,410.000000000,26.409638000
26.419550,34.995577000,5177.435217000,410.534163000,5166.000000000,404.000000000,5169.000000000,381.000000000,26.419550000
26.419580,34.995577000,5176.591695000,407.580747000,5166.000000000,404.000000000,5169.000000000,381.000000000,26.419580000
26.429648,34.995577000,5175.932526000,406.822672000,5166.000000000,403.500000000,5170.000000000,400.000000000,26.429648000
26.429718,34.995577000,5175.339273000,406.140405000,5166.000000000,403.000000000,5170.000000000,400.000000000,26.429718000
26.439328,34.995577000,5171.905346000,402.726365000,5165.500000000,401.500000000,5141.000000000,372.000000000,26.439328000
26.439341,34.995577000,5168.814811000,399.653728000,5165.000000000,400.000000000,5141.000000000,372.000000000,26.439341000
26.449495,34.995577000,5166.933330000,398.888355000,5165.000000000,400.000000000,5150.000000000,392.000000000,26.449495000
26.449534,34.995577000,5165.239997000,398.199520000,5165.000000000,400.000000000,5150.000000000,392.000000000,26.449534000
26.459671,34.995577000,5168.215997000,400.179568000,5165.500000000,400.000000000,5195.000000000,418.000000000,26.459671000
26.459736,34.994201000,5170.894398000,401.961611000,5166.000000000,400.000000000,5195.000000000,418.000000000,26.459736000
26.469406,34.994201000,5175.404958000,404.565450000,5166.000000000,400.000000000,5216.000000000,428.000000000,26.469406000
26.469437,34.994201000,5179.464462000,406.908905000,5166.000000000,400.000000000,5216.000000000,428.000000000,26.469437000
26.479467,34.994201000,5180.618016000,406.618014000,5166.000000000,400.000000000,5191.000000000,404.000000000,26.479467000
26.479492,34.995577000,5181.656214000,406.356213000,5166.000000000,400.000000000,5191.000000000,404.000000000,26.479492000
26.489564,34.995577000,5177.290593000,400.220592000,5166.000000000,400.000000000,5138.000000000,345.000000000,26.489564000
26.489604,34.995577000,5173.361534000,394.698532000,5166.000000000,400.000000000,5138.000000000,345.000000000,26.489604000
26.499557,34.995577000,5173.725380000,397.028679000,5167.500000000,401.500000000,5177.000000000,418.000000000,26.499557000
26.499572,34.995577000,5174.052842000,399.125811000,5169.000000000,403.000000000,5177.000000000,418.000000000,26.499572000
26.509553,34.995577000,5173.847558000,397.213230000,5169.500000000,403.000000000,5172.000000000,380.000000000,26.509553000
26.509579,34.994201000,5173.662802000,395.491907000,5170.000000000,403.000000000,5172.000000000,380.000000000,26.509579000
26.519417,34.994201000,5170.896522000,394.242716000,5170.000000000,403.000000000,5146.000000000,383.000000000,26.519417000
26.519441,34.994201000,5168.406870000,393.118445000,5170.000000000,403.000000000,5146.000000000,383.000000000,26.519441000
26.529643,34.994201000,5171.266183000,394.506600000,5170.000000000,403.500000000,5197.000000000,407.000000000,26.529643000
26.529711,34.994201000,5173.839565000,395.755940000,5170.000000000,404.000000000,5197.000000000,407.000000000,26.529711000
26.539477,34.994201000,5170.655608000,392.280346000,5170.000000000,404.000000000,5142.000000000,361.000000000,26.539477000
26.539493,34.995577000,5167.790047000,389.152312000,5170.000000000,404.000000000,5142.000000000,361.000000000,26.539493000
26.549536,34.995577000,5166.611043000,389.437080000,5170.000000000,403.500000000,5156.000000000,392.000000000,26.549536000
26.549567,34.995577000,5165.549938000,389.693372000,5170.000000000,403.000000000,5156.000000000,392.000000000,26.549567000
26.559480,34.995577000,5163.194944000,390.224035000,5169.500000000,401.500000000,5142.000000000,395.000000000,26.559480000
