__time,/debug_geometry/a,/debug_geometry/b,/debug_geometry/c,/debug_geometry/d,/debug_geometry/e,/debug_geometry/f,/debug_geometry/fc,/debug_geometry/lw,/debug_geometry/w
1782808493.840189,0.000000000,0.366782089,1.131296980,0.872168444,0.312998353,0.000279871,49905.121795805,3.439531051,4.060730855
1782808493.850243,0.000000000,0.366972436,1.131337544,0.872033754,0.313128123,0.000279418,49866.359774128,3.438072791,4.052721721
1782808493.860260,0.000000000,0.367071004,1.131358374,0.871951358,0.313305655,0.000278823,49816.777200986,3.436155899,4.042320295
1782808493.870758,0.000000000,0.367285769,1.131403344,0.871801396,0.313429387,0.000278383,49763.535680899,3.434738697,4.033297180
1782808493.880191,0.000000000,0.367415918,1.131430320,0.871703816,0.313561466,0.000277929,49762.540704464,3.433273805,4.028358007
1782808493.890235,0.000000000,0.367538901,1.131455619,0.871606151,0.313732577,0.000277347,49696.039682767,3.431393860,4.016751582
1782808493.900216,0.000000000,0.367726955,1.131493944,0.871470775,0.313869907,0.000276864,49547.428804919,3.429832480,3.999589955
1782808493.910187,0.000000000,0.367882216,1.131525259,0.871357839,0.313991420,0.000276438,49540.379998283,3.428452845,3.994473462
1782808493.920481,0.000000000,0.368003331,1.131549481,0.871259875,0.314170306,0.000275828,49558.765580970,3.426472477,3.989429673
1782808493.930635,0.000000000,0.368145673,1.131577718,0.871154282,0.314296301,0.000275387,49469.725441254,3.425042384,3.977560435
1782808493.940245,0.000000000,0.368286358,1.131605382,0.871048582,0.314430746,0.000274918,49325.017785730,3.423517979,3.960930876
1782808493.950270,0.000000000,0.368467402,1.131640626,0.870912549,0.314601442,0.000274320,49354.455598738,3.421574624,3.956927604
1782808493.960198,0.000000000,0.368584876,1.131663279,0.870821767,0.314732267,0.000273865,49365.363490373,3.420091711,3.952945210
1782808493.970495,0.000000000,0.368707099,1.131686669,0.870723341,0.314900976,0.000273281,49501.973653578,3.418188919,3.957638407
1782808493.980249,0.000000000,0.368919280,1.131726840,0.870571747,0.315026597,0.000272825,49366.180446238,3.416701418,3.941915232
1782808493.990292,0.000000000,0.369036473,1.131748792,0.870480695,0.315156743,0.000272369,49642.074534333,3.415211907,3.959047429
1782808494.000232,0.000000000,0.369143436,1.131768681,0.870389570,0.315342291,0.000271728,49234.406405238,3.413113839,3.919696448
1782808494.010131,0.000000000,0.369355134,1.131807632,0.870237537,0.315467219,0.000271272,48870.871989327,3.411619495,3.885922257
1782808494.021142,0.000000000,0.369484652,1.131831193,0.870138610,0.315591809,0.000270830,48753.866147614,3.410169921,3.871944640
1782808494.030500,0.000000000,0.369605517,1.131852995,0.870039589,0.315763021,0.000270230,48961.239303610,3.408202911,3.882047795
1782808494.040215,0.000000000,0.369769497,1.131882290,0.869917610,0.315889635,0.000269773,48875.104760760,3.406701984,3.870371843
1782808494.050195,0.000000000,0.369921532,1.131909158,0.869803146,0.316016633,0.000269316,48809.541939862,3.405199054,3.860335721
1782808494.060142,0.000000000,0.370076681,1.131936286,0.869680919,0.316189390,0.000268702,48863.664071184,3.403176498,3.858093299
1782808494.070589,0.000000000,0.370215932,1.131960384,0.869573861,0.316320716,0.000268231,48826.995029034,3.401621743,3.850190228
1782808494.080174,0.000000000,0.370347290,1.131982901,0.869466715,0.316494005,0.000267616,48588.661861207,3.399592565,3.824896143
1782808494.090140,0.000000000,0.370557650,1.132018522,0.869313472,0.316617101,0.000267158,48332.416595731,3.398080190,3.799907532
1782808494.100154,0.000000000,0.370662073,1.132036005,0.869229101,0.316745266,0.000266700,48486.886673820,3.396565816,3.807215310
1782808494.110108,0.000000000,0.370782927,1.132056073,0.869129316,0.316909821,0.000266113,48472.946974675,3.394622501,3.799918882
1782808494.120374,0.000000000,0.370981076,1.132088594,0.868983320,0.317032835,0.000265655,48389.467787142,3.393103570,3.788537910
1782808494.130371,0.000000000,0.371107146,1.132109036,0.868883329,0.317167511,0.000265168,48444.009079046,3.391487548,3.787658515
1782808494.140197,0.000000000,0.371213675,1.132126160,0.868790951,0.317344250,0.000264537,48374.908282176,3.389393022,3.775594289
1782808494.150251,0.000000000,0.371433990,1.132161138,0.868629121,0.317469562,0.000264064,48148.854535505,3.387819535,3.752972583
1782808494.160711,0.000000000,0.371553560,1.132179875,0.868528831,0.317636742,0.000263462,47981.815660769,3.385813742,3.733631368
1782808494.170509,0.000000000,0.371681569,1.132199743,0.868428446,0.317757920,0.000263017,48116.430910151,3.384331126,3.739422751
1782808494.180259,0.000000000,0.371820376,1.132221063,0.868320259,0.317882466,0.000262558,48087.846494025,3.382798738,3.732365320
1782808494.190218,0.000000000,0.371950599,1.132240852,0.868211963,0.318052301,0.000261940,48159.831813905,3.380736385,3.731437302
1782808494.200244,0.000000000,0.372123413,1.132266797,0.868080339,0.318178749,0.000261466,48107.100758331,3.379151285,3.722351962
1782808494.210181,0.000000000,0.372237821,1.132283776,0.867987339,0.318307878,0.000260992,48235.786679086,3.377564071,3.727291407
1782808494.220424,0.000000000,0.372378615,1.132304453,0.867870986,0.318480272,0.000260360,47973.891398430,3.375444659,3.700393272
1782808494.230531,0.000000000,0.372564196,1.132331342,0.867731222,0.318597208,0.000259914,47731.402371890,3.373949041,3.677014635
1782808494.240264,0.000000000,0.372701566,1.132350978,0.867622406,0.318724462,0.000259439,47839.883492363,3.372354915,3.680379556
1782808494.250224,0.000000000,0.372889984,1.132377541,0.867474562,0.318885430,0.000258835,47951.717119091,3.370322868,3.682607578
1782808494.260342,0.000000000,0.373027122,1.132396606,0.867365506,0.319012185,0.000258360,48087.024381230,3.368723949,3.687970361
1782808494.270636,0.000000000,0.373143334,1.132412585,0.867264159,0.319188197,0.000257712,48020.756552531,3.366540143,3.676032443
1782808494.280261,0.000000000,0.373314259,1.132435791,0.867131501,0.319316770,0.000257222,47979.308023617,3.364887622,3.667678513
1782808494.290240,0.000000000,0.373451075,1.132454113,0.867022138,0.319442781,0.000256746,47862.339632251,3.363281555,3.653715840
1782808494.300236,0.000000000,0.373580872,1.132471287,0.866912687,0.319605045,0.000256141,47593.618012316,3.361234315,3.626840097
1782808494.310186,0.000000000,0.373740596,1.132492144,0.866787475,0.319729408,0.000255665,47492.503528222,3.359623467,3.614141426
1782808494.320794,0.000000000,0.373878609,1.132509918,0.866677815,0.319846610,0.000255217,47646.284719348,3.358108544,3.621134466
1782808494.330360,0.000000000,0.374018117,1.132527653,0.866560206,0.320015453,0.000254582,47877.366910122,3.355954765,3.631971262
1782808494.340310,0.000000000,0.374177453,1.132547623,0.866434636,0.320139103,0.000254106,47643.095112346,3.354337042,3.609174513
1782808494.350355,0.000000000,0.374301316,1.132562937,0.866332519,0.320268265,0.000253615,47577.325386642,3.352668117,3.599017105
1782808494.360334,0.000000000,0.374498050,1.132586882,0.866175247,0.320433262,0.000252979,47460.791901954,3.350504926,3.583513172
1782808494.370648,0.000000000,0.374611716,1.132600505,0.866080789,0.320554466,0.000252516,47373.258857361,3.348929399,3.572043210
1782808494.380242,0.000000000,0.374716156,1.132612887,0.865986259,0.320723351,0.000251880,47309.662480387,3.346759773,3.560565622
1782808494.390251,0.000000000,0.374945309,1.132639595,0.865812763,0.320834384,0.000251432,47532.368602366,3.345228965,3.572591394
1782808494.400154,0.000000000,0.375092339,1.132656401,0.865694343,0.320957166,0.000250954,47624.692042086,3.343597397,3.574475287
1782808494.410146,0.000000000,0.375207973,1.132669438,0.865591608,0.321124500,0.000250317,47405.477124158,3.341418885,3.551305646
1782808494.420351,0.000000000,0.375356304,1.132685926,0.865472979,0.321238852,0.000249868,47093.751957341,3.339881646,3.523246653
1782808494.430415,0.000000000,0.375490799,1.132700649,0.865362146,0.321365457,0.000249375,47110.560796690,3.338193324,3.519334665
1782808494.440259,0.000000000,0.375609949,1.132713512,0.865259150,0.321512098,0.000248810,47043.356816295,3.336254344,3.508387652
1782808494.450242,0.000000000,0.375781568,1.132731742,0.865124334,0.321620735,0.000248375,46888.229513749,3.334760723,3.492269675
1782808494.460696,0.000000000,0.375865504,1.132740530,0.865044958,0.321772457,0.000247795,46658.143579739,3.332766713,3.469091416
1782808494.470438,0.000000000,0.376060450,1.132760617,0.864894022,0.321875623,0.000247375,46330.281002939,3.331319003,3.440360363
1782808494.480699,0.000000000,0.376176894,1.132772399,0.864798597,0.321974741,0.000246983,46080.296958708,3.329969654,3.417761835
1782808494.490190,0.000000000,0.376283426,1.132783036,0.864703100,0.322124556,0.000246402,45758.602764595,3.327968294,3.387959985
1782808494.500536,0.000000000,0.376410365,1.132795536,0.864599558,0.322226650,0.000245996,45679.967694428,3.326565373,3.377980992
1782808494.510476,0.000000000,0.376515183,1.132805712,0.864511893,0.322325816,0.000245603,45676.237086718,3.325211119,3.373693666
1782808494.520286,0.000000000,0.376590407,1.132812935,0.864440109,0.322460983,0.000245080,45510.928912624,3.323403447,3.356150014
