__time,/debug/f,/debug/fc,/debug/lw,/debug/pb,/debug/pr,/debug/theta_g,/debug/theta_i,/debug/w
1783004824.433551,0.000000000,0.000000000,0.000000000,7025360.881374554,502945.036164434,0.727332687,0.000000000,2890.018675201
1783004824.443564,0.000000000,0.000000000,0.000000000,6977752.006591998,479750.968962676,0.727356648,0.000000000,2876.398523171
1783004824.453603,0.000000000,0.000000000,0.000000000,7043671.987060152,506607.257301553,0.727332687,0.000000000,2896.838497560
1783004824.463548,0.000000000,0.000000000,0.000000000,7052217.169713431,505386.516922513,0.727356648,0.000000000,2900.875586087
1783004824.473786,0.000000000,0.000000000,0.000000000,7077852.717673269,527359.843745232,0.727356648,0.000000000,2905.316349122
1783004824.483374,0.000000000,0.000000000,0.000000000,6949674.977874081,439466.536454360,0.727356648,0.000000000,2876.451389397
1783004824.493490,0.000000000,0.000000000,0.000000000,7157200.842310862,598162.785729545,0.727356648,0.000000000,2918.215708413
1783004824.503688,0.000000000,0.000000000,0.000000000,7032685.323648793,535905.026398511,0.727356648,0.000000000,2883.165400176
1783004824.513497,0.000000000,0.000000000,0.000000000,7047334.208197271,501724.295785394,0.727332687,0.000000000,2899.904774280
1783004824.523729,0.000000000,0.000000000,0.000000000,7005829.035309915,491958.372753075,0.727356648,0.000000000,2884.857119427
1783004824.533684,0.000000000,0.000000000,0.000000000,6989959.410382397,487075.411236915,0.727356648,0.000000000,2879.464764314
1783004824.543611,0.000000000,0.000000000,0.000000000,7048554.948576312,517593.920712912,0.727356648,0.000000000,2895.588963427
1783004824.553528,0.000000000,0.000000000,0.000000000,7009491.256447035,472426.526688437,0.727356648,0.000000000,2892.364123604
1783004824.563669,0.000000000,0.000000000,0.000000000,6976531.266212958,488296.151615955,0.727332687,0.000000000,2873.312753762
1783004824.573567,0.000000000,0.000000000,0.000000000,7014374.217963194,479750.968962676,0.727308726,0.000000000,2892.325507079
1783004824.583652,0.000000000,0.000000000,0.000000000,7044892.727439192,510269.478438673,0.727332687,0.000000000,2896.256962320
1783004824.593697,0.000000000,0.000000000,0.000000000,7011932.737205115,498062.074648274,0.727332687,0.000000000,2885.683594321
1783004824.603673,0.000000000,0.000000000,0.000000000,7040009.765923033,529801.324503311,0.727332687,0.000000000,2888.221202641
1783004824.613643,0.000000000,0.000000000,0.000000000,6937467.574083682,444349.497970519,0.727332687,0.000000000,2869.717808643
1783004824.623654,0.000000000,0.000000000,0.000000000,6938688.314462721,450453.199865719,0.727356648,0.000000000,2868.362856727
1783004824.633683,0.000000000,0.000000000,0.000000000,7024140.140995514,495620.593890194,0.727332687,0.000000000,2891.710414081
1783004824.643736,0.000000000,0.000000000,0.000000000,7040009.765923033,510269.478438673,0.727356648,0.000000000,2894.108709082
1783004824.653478,0.000000000,0.000000000,0.000000000,7010711.996826075,495620.593890194,0.727332687,0.000000000,2885.895061681
1783004824.663549,0.000000000,0.000000000,0.000000000,7035126.804406873,512710.959196753,0.727356648,0.000000000,2891.253932846
1783004824.673818,0.000000000,0.000000000,0.000000000,7025360.881374554,487075.411236915,0.727356648,0.000000000,2894.795970028
1783004824.683347,0.000000000,0.000000000,0.000000000,7070528.275399029,577410.199285867,0.727356648,0.000000000,2886.971768491
1783004824.693664,0.000000000,0.000000000,0.000000000,7029023.102511673,515152.439954833,0.727356648,0.000000000,2887.870494343
1783004824.703604,0.000000000,0.000000000,0.000000000,7018036.439100314,491958.372753075,0.727356648,0.000000000,2890.143742087
1783004824.713622,0.000000000,0.000000000,0.000000000,6905728.324228644,406506.546220283,0.727356648,0.000000000,2867.411264648
1783004824.723816,0.000000000,0.000000000,0.000000000,6977752.006591998,467543.565172277,0.727356648,0.000000000,2880.099159033
1783004824.733358,0.000000000,0.000000000,0.000000000,7019257.179479354,526139.103366192,0.727356648,0.000000000,2880.310623939
1783004824.743359,0.000000000,0.000000000,0.000000000,6996063.112277596,487075.411236915,0.727332687,0.000000000,2882.141516042
1783004824.753428,0.000000000,0.000000000,0.000000000,6981414.227729117,458998.382518998,0.727332687,0.000000000,2884.309056481
1783004824.763646,0.000000000,0.000000000,0.000000000,6996063.112277596,457777.642139958,0.727332687,0.000000000,2891.023145161
1783004824.773597,0.000000000,0.000000000,0.000000000,7066866.054261910,531022.064882351,0.727332687,0.000000000,2899.481839560
1783004824.783654,0.000000000,0.000000000,0.000000000,6937467.574083682,443128.757591479,0.727332687,0.000000000,2870.087876523
1783004824.793642,0.000000000,0.000000000,0.000000000,7025360.881374554,527359.843745232,0.727332687,0.000000000,2882.617317602
1783004824.803628,0.000000000,0.000000000,0.000000000,7027802.362132633,522476.882229072,0.727332687,0.000000000,2885.154925921
1783004824.813618,0.000000000,0.000000000,0.000000000,6964323.862422559,444349.497970519,0.727356648,0.000000000,2881.315082245
1783004824.823776,0.000000000,0.000000000,0.000000000,6991180.150761437,496841.334269234,0.727380609,0.000000000,2876.999535968
1783004824.833462,0.000000000,0.000000000,0.000000000,7020477.919858394,474868.007446516,0.727356648,0.000000000,2896.381956826
1783004824.843588,0.000000000,0.000000000,0.000000000,6961882.381664479,512710.959196753,0.727356648,0.000000000,2859.534196885
1783004824.853671,0.000000000,0.000000000,0.000000000,6897183.141575365,427259.132663961,0.727356648,0.000000000,2857.419547821
1783004824.863595,0.000000000,0.000000000,0.000000000,7043671.987060152,522476.882229072,0.727332687,0.000000000,2892.027615121
1783004824.873586,0.000000000,0.000000000,0.000000000,7022919.400616474,474868.007446516,0.727356648,0.000000000,2897.439281358
1783004824.883612,0.000000000,0.000000000,0.000000000,6989959.410382397,478530.228583636,0.727332687,0.000000000,2882.088649202
1783004824.893557,0.000000000,0.000000000,0.000000000,7048554.948576312,511490.218817713,0.727356648,0.000000000,2897.439281358
1783004824.903750,0.000000000,0.000000000,0.000000000,6930143.131809442,434583.574938200,0.727356648,0.000000000,2869.473047486
1783004824.913467,0.000000000,0.000000000,0.000000000,7020477.919858394,506607.257301553,0.727332687,0.000000000,2886.793797961
1783004824.923755,0.000000000,0.000000000,0.000000000,7022919.400616474,490737.632374035,0.727332687,0.000000000,2892.662017201
1783004824.933589,0.000000000,0.000000000,0.000000000,7018036.439100314,505386.516922513,0.727332687,0.000000000,2886.106529041
1783004824.943641,0.000000000,0.000000000,0.000000000,6996063.112277596,463881.344035157,0.727332687,0.000000000,2889.172805761
1783004824.953350,0.000000000,0.000000000,0.000000000,7004608.294930875,500503.555406354,0.727332687,0.000000000,2881.771448162
1783004824.963693,0.000000000,0.000000000,0.000000000,7086397.900326548,588396.862697226,0.727332687,0.000000000,2890.547343601
1783004824.973602,0.000000000,0.000000000,0.000000000,7057100.131229591,531022.064882351,0.727332687,0.000000000,2895.252492361
1783004824.983639,0.000000000,0.000000000,0.000000000,6949674.977874081,448011.719107639,0.727356648,0.000000000,2873.860944294
1783004824.993290,0.000000000,0.000000000,0.000000000,6949674.977874081,448011.719107639,0.727356648,0.000000000,2873.860944294
1783004825.003371,0.000000000,0.000000000,0.000000000,6999725.333414716,493179.113132115,0.727332687,0.000000000,2881.877181842
1783004825.013784,0.000000000,0.000000000,0.000000000,6977752.006591998,477309.488204596,0.727332687,0.000000000,2877.172033082
1783004825.023816,0.000000000,0.000000000,0.000000000,7047334.208197271,510269.478438673,0.727332687,0.000000000,2897.314299120
1783004825.033420,0.000000000,0.000000000,0.000000000,7022919.400616474,483413.190099796,0.727356648,0.000000000,2894.848836255
1783004825.043581,0.000000000,0.000000000,0.000000000,6884975.737784967,386974.700155644,0.727356648,0.000000000,2864.345023505
1783004825.053627,0.000000000,0.000000000,0.000000000,7022919.400616474,515152.439954833,0.727356648,0.000000000,2885.227183013
1783004825.063545,0.000000000,0.000000000,0.000000000,7011932.737205115,468764.305551317,0.727332687,0.000000000,2894.565223441
1783004825.073565,0.000000000,0.000000000,0.000000000,6997283.852656636,482192.449720756,0.727332687,0.000000000,2884.150455961
1783004825.083658,0.000000000,0.000000000,0.000000000,6972869.045075838,469985.045930357,0.727308726,0.000000000,2877.311150318
1783004825.093443,0.000000000,0.000000000,0.000000000,6996063.112277596,483413.190099796,0.727332687,0.000000000,2883.251719681
1783004825.103626,0.000000000,0.000000000,0.000000000,7005829.035309915,493179.113132115,0.727332687,0.000000000,2884.520523841
1783004825.113365,0.000000000,0.000000000,0.000000000,7000946.073793756,482192.449720756,0.727332687,0.000000000,2885.736461161
1783004825.123663,0.000000000,0.000000000,0.000000000,7052217.169713431,540787.987914670,0.727332687,0.000000000,2890.177275721
1783004825.133484,0.000000000,0.000000000,0.000000000,7014374.217963194,511490.218817713,0.727332687,0.000000000,2882.670184442
1783004825.143546,0.000000000,0.000000000,0.000000000,7053437.910092471,520035.401470992,0.727332687,0.000000000,2896.997098080
1783004825.153340,0.000000000,0.000000000,0.000000000,6996063.112277596,483413.190099796,0.727332687,0.000000000,2883.251719681
1783004825.163568,0.000000000,0.000000000,0.000000000,6977752.006591998,463881.344035157,0.727332687,0.000000000,2881.242779762
1783004825.173892,0.000000000,0.000000000,0.000000000,6985076.448866237,452894.680623798,0.727332687,0.000000000,2887.745401081
1783004825.183511,0.000000000,0.000000000,0.000000000,6985076.448866237,452894.680623798,0.727332687,0.000000000,2887.745401081
1783004825.193425,0.000000000,0.000000000,0.000000000,7038789.025543992,507827.997680593,0.727332687,0.000000000,2894.353756081
1783004825.203526,0.000000000,0.000000000,0.000000000,7029023.102511673,487075.411236915,0.727356648,0.000000000,2896.381956826
1783004825.213551,0.000000000,0.000000000,0.000000000,7007049.775688956,479750.968962676,0.727332687,0.000000000,2889.119938921
1783004825.223486,0.000000000,0.000000000,0.000000000,7009491.256447035,487075.411236915,0.727332687,0.000000000,2887.956868441
1783004825.233580,0.000000000,0.000000000,0.000000000,7048554.948576312,527359.843745232,0.727332687,0.000000000,2892.662017201
1783004825.243247,0.000000000,0.000000000,0.000000000,7048554.948576312,527359.843745232,0.727332687,0.000000000,2892.662017201
1783004825.253502,0.000000000,0.000000000,0.000000000,7019257.179479354,554216.132084109,0.727308726,0.000000000,2871.865802620
1783004825.263376,0.000000000,0.000000000,0.000000000,7019257.179479354,554216.132084109,0.727308726,0.000000000,2871.865802620
1783004825.273654,0.000000000,0.000000000,0.000000000,7020477.919858394,491958.372753075,0.727356648,0.000000000,2891.201066619
1783004825.283454,0.000000000,0.000000000,0.000000000,7015594.958342235,498062.074648274,0.727332687,0.000000000,2887.269599521
1783004825.293475,0.000000000,0.000000000,0.000000000,6947233.497116000,448011.719107639,0.727332687,0.000000000,2872.836952202
1783004825.303582,0.000000000,0.000000000,0.000000000,6970427.564317759,432142.094180120,0.727332687,0.000000000,2887.692534241
1783004825.313441,0.000000000,0.000000000,0.000000000,7048554.948576312,545670.949430830,0.727332687,0.000000000,2887.110999001
1783004825.323704,0.000000000,0.000000000,0.000000000,6976531.266212958,474868.007446516,0.727332687,0.000000000,2877.383500442
1783004825.333449,0.000000000,0.000000000,0.000000000,6971648.304696798,478530.228583636,0.727332687,0.000000000,2874.158623202
1783004825.343404,0.000000000,0.000000000,0.000000000,6863002.410962248,372325.815607166,0.727332687,0.000000000,2859.303041163
1783004825.353270,0.000000000,0.000000000,0.000000000,6863002.410962248,372325.815607166,0.727332687,0.000000000,2859.303041163
1783004825.363485,0.000000000,0.000000000,0.000000000,6930143.131809442,444349.497970519,0.727356648,0.000000000,2866.512538796
1783004825.373603,0.000000000,0.000000000,0.000000000,7009491.256447035,490737.632374035,0.727332687,0.000000000,2886.846664801
1783004825.383548,0.000000000,0.000000000,0.000000000,6958220.160527360,473647.267067476,0.727332687,0.000000000,2869.823542323
1783004825.393494,0.000000000,0.000000000,0.000000000,6958220.160527360,473647.267067476,0.727332687,0.000000000,2869.823542323
1783004825.403559,0.000000000,0.000000000,0.000000000,7030243.842890713,498062.074648274,0.727332687,0.000000000,2893.613620321
1783004825.413453,0.000000000,0.000000000,0.000000000,6991180.150761437,478530.228583636,0.727332687,0.000000000,2882.617317602
1783004825.423641,0.000000000,0.000000000,0.000000000,6943571.275978881,463881.344035157,0.727332687,0.000000000,2866.440064563
1783004825.433600,0.000000000,0.000000000,0.000000000,6953337.199011200,474868.007446516,0.727332687,0.000000000,2867.338800843
1783004825.443516,0.000000000,0.000000000,0.000000000,6953337.199011200,474868.007446516,0.727332687,0.000000000,2867.338800843
