__time,/vehicle/loader_joint_angles/data[0],/vehicle/loader_joint_angles/data[1],/vehicle/loader_joint_angles/layout/data_offset,/vehicle/loader_joint_pressures/data[0],/vehicle/loader_joint_pressures/data[1],/vehicle/loader_joint_pressures/layout/data_offset
1782548336.279049,0.089354381,0.179691479,0.000000000,,,
1782548336.289059,,,,4529.000000000,493.000000000,0.000000000
1782548336.289107,0.088803113,0.179260045,0.000000000,,,
1782548336.299003,,,,4412.000000000,377.000000000,0.000000000
1782548336.299045,0.088491522,0.178636864,0.000000000,,,
1782548336.308968,,,,4493.000000000,454.000000000,0.000000000
1782548336.309001,0.088251837,0.178205431,0.000000000,,,
1782548336.318910,,,,4477.000000000,392.000000000,0.000000000
1782548336.318936,0.088108025,0.177773997,0.000000000,,,
1782548336.328976,,,,4487.000000000,436.000000000,0.000000000
1782548336.329011,0.087868340,0.177222729,0.000000000,,,
1782548336.338934,,,,4404.000000000,387.000000000,0.000000000
1782548336.338965,0.087628655,0.176791295,0.000000000,,,
1782548336.348897,,,,4483.000000000,467.000000000,0.000000000
1782548336.348937,0.087101348,0.176335886,0.000000000,,,
1782548336.358938,,,,4420.000000000,381.000000000,0.000000000
1782548336.358965,0.086789757,0.175736681,0.000000000,,,
1782548336.368767,,,,4329.000000000,301.000000000,0.000000000
1782548336.368777,0.086621977,0.175305247,0.000000000,,,
1782548336.378943,,,,4466.000000000,375.000000000,0.000000000
1782548336.378984,0.086382292,0.174921751,0.000000000,,,
1782548336.388844,,,,4395.000000000,318.000000000,0.000000000
1782548336.388860,0.086142614,0.174418420,0.000000000,,,
1782548336.398919,,,,4508.000000000,442.000000000,0.000000000
1782548336.398956,0.085591339,0.173963010,0.000000000,,,
1782548336.408902,,,,4422.000000000,369.000000000,0.000000000
1782548336.408931,0.085303716,0.173339829,0.000000000,,,
1782548336.418825,,,,4458.000000000,404.000000000,0.000000000
1782548336.418844,0.085016094,0.172908396,0.000000000,,,
1782548336.429082,,,,4422.000000000,404.000000000,0.000000000
1782548336.429115,0.084848315,0.172476962,0.000000000,,,
1782548336.438909,,,,4428.000000000,342.000000000,0.000000000
1782548336.438941,0.084608629,0.171949670,0.000000000,,,
1782548336.448941,,,,4446.000000000,418.000000000,0.000000000
1782548336.448984,0.084153228,0.171518236,0.000000000,,,
1782548336.459066,,,,4438.000000000,389.000000000,0.000000000
1782548336.459101,0.083841637,0.171062827,0.000000000,,,
1782548336.468986,,,,4436.000000000,387.000000000,0.000000000
1782548336.469017,0.083554022,0.170367748,0.000000000,,,
1782548336.479009,,,,4401.000000000,346.000000000,0.000000000
1782548336.479040,0.083314337,0.169984251,0.000000000,,,
1782548336.489021,,,,4502.000000000,408.000000000,0.000000000
1782548336.489064,0.083002746,0.169552818,0.000000000,,,
1782548336.498943,,,,4438.000000000,397.000000000,0.000000000
1782548336.498979,0.082882904,0.169025511,0.000000000,,,
1782548336.509036,,,,4474.000000000,399.000000000,0.000000000
1782548336.509073,0.082619250,0.168594077,0.000000000,,,
1782548336.519065,,,,4366.000000000,326.000000000,0.000000000
1782548336.519099,0.082091942,0.167970896,0.000000000,,,
1782548336.528989,,,,4417.000000000,406.000000000,0.000000000
1782548336.529020,0.081804320,0.167515501,0.000000000,,,
1782548336.538944,,,,4408.000000000,392.000000000,0.000000000
1782548336.538974,0.081540667,0.167084068,0.000000000,,,
1782548336.548979,,,,4526.000000000,459.000000000,0.000000000
1782548336.549012,0.081348918,0.166604698,0.000000000,,,
1782548336.558827,,,,4393.000000000,322.000000000,0.000000000
1782548336.558852,0.081109233,0.166149303,0.000000000,,,
1782548336.568978,,,,4400.000000000,360.000000000,0.000000000
1782548336.569006,0.080605902,0.165693894,0.000000000,,,
1782548336.578962,,,,4470.000000000,432.000000000,0.000000000
1782548336.578993,0.080318280,0.165046751,0.000000000,,,
1782548336.588846,,,,4405.000000000,361.000000000,0.000000000
1782548336.588866,0.080030657,0.164615318,0.000000000,,,
1782548336.598968,,,,4381.000000000,349.000000000,0.000000000
1782548336.599004,0.079790972,0.164088011,0.000000000,,,
1782548336.608973,,,,4366.000000000,306.000000000,0.000000000
1782548336.608999,0.079527318,0.163656577,0.000000000,,,
1782548336.618848,,,,4478.000000000,388.000000000,0.000000000
1782548336.618886,0.079287633,0.163225144,0.000000000,,,
1782548336.628864,,,,4400.000000000,332.000000000,0.000000000
1782548336.628876,0.078808263,0.162554026,0.000000000,,,
1782548336.638940,,,,4555.000000000,501.000000000,0.000000000
